cmo,classification,method,rule_id,records,population
6230,clase_egp7_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1264,735,201084
1423,clase_egp7_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1138,299,101620
1205,clase_egp7_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1118,664,166429
2121,clase_egp7_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1143,636,183740
6150,clase_egp7_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1255,128,43527
4120,clase_egp7_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1160,506,123190
1230,clase_egp7_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1123,226,57892
6101,clase_egp7_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1250,440,93003
2125,clase_egp7_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1147,427,98368
2123,clase_egp7_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1145,96,31195
6232,clase_egp7_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1265,150,39167
1104,clase_egp7_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1101,318,89773
1221,clase_egp7_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1122,130,31305
1423,clase_egp7_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1137,183,50445
6110,clase_egp7_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1252,353,97836
1390,clase_egp7_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1133,152,30543
1250,clase_egp7_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1124,421,98103
6100,clase_egp7_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1249,220,44470
5380,clase_egp7_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1232,124,47935
5246,clase_egp7_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1192,2,926
8100,clase_alt6_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0875,1508,454543
1105,clase_alt6_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0690,657,186122
6270,clase_alt6_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0860,3574,824847
5400,clase_alt6_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0820,1733,453928
2127,clase_alt6_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0735,455,111666
5246,clase_alt6_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0779,381,111008
6130,clase_alt6_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0846,134,45536
8100,clase_alt6_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0874,541,143163
2124,clase_alt6_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0733,456,127106
6230,clase_alt6_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0856,735,201084
1423,clase_alt6_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0725,299,101620
1205,clase_alt6_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0706,664,166429
2121,clase_alt6_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0731,636,183740
6150,clase_alt6_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0847,128,43527
4120,clase_alt6_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0742,713,170204
1230,clase_alt6_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0711,226,57892
6101,clase_alt6_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0842,440,93003
2125,clase_alt6_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0734,427,98368
2123,clase_alt6_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0732,96,31195
6232,clase_alt6_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0857,150,39167
1104,clase_alt6_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0689,318,89773
1221,clase_alt6_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0710,130,31305
1423,clase_alt6_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0726,134,35768
6110,clase_alt6_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0844,353,97836
1390,clase_alt6_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0721,152,30543
1250,clase_alt6_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0712,421,98103
6100,clase_alt6_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0841,220,44470
5246,clase_alt6_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0780,2,926
5246,macro_egp4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2046,435,126487
8100,macro_egp4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2130,3505,985462
1105,macro_egp4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1966,657,186122
6270,macro_egp4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2118,3574,824847
5400,macro_egp4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2085,1733,453928
2127,macro_egp4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2010,455,111666
6130,macro_egp4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2103,134,45536
2124,macro_egp4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2008,456,127106
6230,macro_egp4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2113,735,201084
1423,macro_egp4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2001,482,152065
1205,macro_egp4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1982,664,166429
2121,macro_egp4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2006,636,183740
6150,macro_egp4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2104,128,43527
4120,macro_egp4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2017,713,170204
1230,macro_egp4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1986,226,57892
6101,macro_egp4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2099,440,93003
2125,macro_egp4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2009,427,98368
2123,macro_egp4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2007,96,31195
6232,macro_egp4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2115,150,39167
1104,macro_egp4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1965,318,89773
1221,macro_egp4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1985,130,31305
6110,macro_egp4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2101,353,97836
1390,macro_egp4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1997,152,30543
7201,macro_egp4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2126,1551,411499
1250,macro_egp4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1987,421,98103
6100,macro_egp4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2098,220,44470
5380,macro_egp4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2083,126,48291
5246,macro_solis4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2236,435,126487
8100,macro_solis4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2326,2049,597706
1105,macro_solis4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2153,657,186122
6270,macro_solis4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2313,3574,824847
5400,macro_solis4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2275,1733,453928
2127,macro_solis4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2200,455,111666
6130,macro_solis4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2294,134,45536
2124,macro_solis4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2198,456,127106
8150,macro_solis4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2341,258,72406
6230,macro_solis4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2307,735,201084
1423,macro_solis4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2191,482,152065
1205,macro_solis4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2170,664,166429
2121,macro_solis4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2196,636,183740
6260,macro_solis4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2312,174,54708
6150,macro_solis4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2297,128,43527
6160,macro_solis4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2298,612,171457
4120,macro_solis4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2207,713,170204
1230,macro_solis4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2174,226,57892
6101,macro_solis4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2289,440,93003
2125,macro_solis4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2199,427,98368
2123,macro_solis4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2197,96,31195
6232,macro_solis4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2309,150,39167
1104,macro_solis4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2152,318,89773
1221,macro_solis4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2173,130,31305
6110,macro_solis4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2291,353,97836
1390,macro_solis4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2187,152,30543
1250,macro_solis4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2175,421,98103
6100,macro_solis4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2288,220,44470
5380,macro_solis4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2273,126,48291
5170,macro_solis4_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_2212,62,17410
5246,egp3_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1594,435,126487
8100,egp3_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1678,3505,985462
1105,egp3_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1496,657,186122
6270,egp3_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1666,3574,824847
5400,egp3_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1633,1733,453928
2127,egp3_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1540,455,111666
6130,egp3_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1651,134,45536
2124,egp3_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1538,456,127106
6230,egp3_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1661,735,201084
1423,egp3_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1531,482,152065
