"puente","anio","trim","salida","aplicable","registros_total","poblacion_total","registros_clasificados","registros_pendientes","poblacion_clasificada","cobertura_registros","cobertura_ponderada","ocupados_excluidos_peso"
"SINCO2019_SINCO2011",2021,3,"grupo_ocu9_damian",TRUE,188379,56422329,186253,2126,55804453,0.988714240971658,0.989049087285993,0
"SINCO2019_SINCO2011",2021,3,"isco88_damian",TRUE,188379,56422329,186190,2189,55785031,0.988379808789727,0.988704861864174,0
"SINCO2019_SINCO2011",2021,3,"clase_ocu_damian",TRUE,188379,56422329,186253,2126,55804453,0.988714240971658,0.989049087285993,0
"SINCO2019_SINCO2011",2021,3,"calificada_damian",TRUE,188379,56422329,186253,2126,55804453,0.988714240971658,0.989049087285993,0
"SINCO2019_SINCO2011",2021,3,"manual_damian",TRUE,188379,56422329,186253,2126,55804453,0.988714240971658,0.989049087285993,0
"SINCO2019_SINCO2011",2021,3,"supervisa_damian",TRUE,188379,56422329,186253,2126,55804453,0.988714240971658,0.989049087285993,0
"SINCO2019_SINCO2011",2021,3,"clase_egp13_damian",TRUE,188379,56422329,186220,2159,55792932,0.988539062209694,0.988844895076912,0
"SINCO2019_SINCO2011",2021,3,"clase_egp7_damian",TRUE,188379,56422329,186220,2159,55792932,0.988539062209694,0.988844895076912,0
"SINCO2019_SINCO2011",2021,3,"clase_alt6_damian",TRUE,188379,56422329,186220,2159,55792932,0.988539062209694,0.988844895076912,0
"SINCO2019_SINCO2011",2021,3,"macro_egp4_damian",TRUE,188379,56422329,186220,2159,55792932,0.988539062209694,0.988844895076912,0
"SINCO2019_SINCO2011",2021,3,"macro_solis4_damian",TRUE,188379,56422329,186220,2159,55792932,0.988539062209694,0.988844895076912,0
"SINCO2019_SINCO2011",2021,3,"egp3_damian",TRUE,188379,56422329,186220,2159,55792932,0.988539062209694,0.988844895076912,0
"SINCO2019_SINCO2011",2021,3,"baja_damian",TRUE,188379,56422329,186220,2159,55792932,0.988539062209694,0.988844895076912,0
"SINCO2019_SINCO2011",2021,3,"alta_damian",TRUE,188379,56422329,186220,2159,55792932,0.988539062209694,0.988844895076912,0
"SINCO2019_SINCO2011",2021,3,"class_ocu",TRUE,188379,56422329,188270,109,56393289,0.999421379240786,0.99948531015088,0
"SINCO2019_SINCO2011",2021,3,"isco_care",TRUE,188379,56422329,188270,109,56393289,0.999421379240786,0.99948531015088,0
"SINCO2019_SINCO2011",2021,3,"care_industry",TRUE,188379,56422329,188227,152,56382310,0.9991931160055,0.999290724067771,0
"SINCO2019_SINCO2011",2021,3,"care_w",TRUE,188379,56422329,188146,233,56357455,0.998763131771588,0.998850206980999,0
"SINCO2019_SINCO2011",2021,3,"cuida_total",TRUE,188379,56422329,188146,233,56357455,0.998763131771588,0.998850206980999,0
"SINCO2019_SINCO2011",2021,3,"cuida_1d",TRUE,188379,56422329,188146,233,56357455,0.998763131771588,0.998850206980999,0
"SINCO2019_SINCO2011",2021,3,"trabajo_cuidado_mercado",TRUE,188379,56422329,188146,233,56357455,0.998763131771588,0.998850206980999,0
"SINCO2019_SINCO2011",2021,3,"cuidado_posicion_remunerada",TRUE,188379,56422329,188146,233,56357455,0.998763131771588,0.998850206980999,0
"SINCO2019_SINCO2011",2021,3,"cuidado_sin_pago",TRUE,188379,56422329,188146,233,56357455,0.998763131771588,0.998850206980999,0
"SINCO2019_SINCO2011",2021,3,"susceptible_teletrabajo",TRUE,188379,56422329,188379,0,56422329,1,1,0
