cmo,n_destinos,rescata_original,registros,poblacion
1230,1,TRUE,216,54227
1204,1,FALSE,38,10703
4120,1,FALSE,206,46612
5380,1,TRUE,81,35129
7201,1,FALSE,898,264463
7201,2,FALSE,579,125551
6101,1,TRUE,63,15344
7201,1,TRUE,27,6707
1204,1,TRUE,188,51834
1250,1,TRUE,386,88705
4109,1,FALSE,83,14957
