classification,split,cmo,old_value,new_value,n,population
grupo_ocu9_damian,train,6160,1,2,9,1872
grupo_ocu9_damian,train,6221,3,9,14,3060
grupo_ocu9_damian,train,5344,8,8,118,23463
grupo_ocu9_damian,validation,1160,2,2,156,36554
grupo_ocu9_damian,validation,1390,2,2,11,1189
grupo_ocu9_damian,validation,1412,2,2,40,9323
grupo_ocu9_damian,validation,5248,7,7,59,14116
grupo_ocu9_damian,validation,5242,7,7,64,16689
grupo_ocu9_damian,validation,1363,2,8,3,502
grupo_ocu9_damian,train,5343,8,8,77,16077
grupo_ocu9_damian,train,5247,2,2,5,759
grupo_ocu9_damian,validation,1300,2,2,159,44737
grupo_ocu9_damian,validation,1103,2,2,5,1012
grupo_ocu9_damian,validation,6270,3,2,175,31652
grupo_ocu9_damian,validation,7201,4,9,209,61609
grupo_ocu9_damian,validation,2121,1,1,54,19217
grupo_ocu9_damian,validation,6111,1,3,43,12106
grupo_ocu9_damian,train,8301,1,5,274,78200
grupo_ocu9_damian,train,5240,7,9,2,188
grupo_ocu9_damian,train,1130,2,2,170,41716
grupo_ocu9_damian,train,7131,4,3,4,591
grupo_ocu9_damian,train,7100,4,9,80,32974
grupo_ocu9_damian,validation,6101,1,2,53,13957
grupo_ocu9_damian,validation,1105,2,1,8,782
grupo_ocu9_damian,validation,6270,3,4,8,1809
grupo_ocu9_damian,validation,1164,2,2,34,7306
grupo_ocu9_damian,validation,1132,2,2,62,16106
grupo_ocu9_damian,train,6270,3,1,50,7991
grupo_ocu9_damian,train,6270,3,2,178,35632
grupo_ocu9_damian,train,5161,7,2,11,3157
grupo_ocu9_damian,train,8130,5,5,192,55473
grupo_ocu9_damian,train,5260,7,7,242,65868
grupo_ocu9_damian,train,5341,8,8,7,1858
grupo_ocu9_damian,train,6160,1,4,27,6474
grupo_ocu9_damian,validation,6130,1,1,13,1381
grupo_ocu9_damian,validation,6221,3,1,10,3809
grupo_ocu9_damian,validation,5270,2,2,109,26266
grupo_ocu9_damian,validation,5151,7,8,4,1474
grupo_ocu9_damian,validation,8303,5,5,233,74333
grupo_ocu9_damian,validation,5230,7,7,77,23543
grupo_ocu9_damian,train,5100,1,5,11,2709
grupo_ocu9_damian,train,8131,5,5,21,5958
grupo_ocu9_damian,train,6160,1,3,15,3643
grupo_ocu9_damian,train,8303,5,3,10,3429
grupo_ocu9_damian,train,8303,5,5,226,64687
grupo_ocu9_damian,train,1100,2,2,22,5857
grupo_ocu9_damian,train,1211,2,2,2,313
grupo_ocu9_damian,train,1423,2,3,7,1703
grupo_ocu9_damian,validation,7110,4,4,48,10504
grupo_ocu9_damian,validation,5248,7,9,3,939
grupo_ocu9_damian,validation,5400,9,9,85,23046
grupo_ocu9_damian,validation,2125,1,1,44,11841
grupo_ocu9_damian,validation,6270,3,9,20,4826
grupo_ocu9_damian,train,6100,1,2,17,4640
grupo_ocu9_damian,train,7110,4,4,46,9252
grupo_ocu9_damian,train,5352,8,9,1,117
grupo_ocu9_damian,train,5323,8,7,7,1140
grupo_ocu9_damian,train,1220,2,2,213,68133
grupo_ocu9_damian,train,8125,5,5,72,24742
grupo_ocu9_damian,validation,5260,7,7,234,59325
grupo_ocu9_damian,validation,5502,8,8,52,13169
grupo_ocu9_damian,validation,5280,7,7,27,7773
grupo_ocu9_damian,train,7111,4,8,25,8937
grupo_ocu9_damian,train,6111,1,1,98,23486
grupo_ocu9_damian,train,1131,2,2,123,26358
grupo_ocu9_damian,train,6201,3,2,1,142
grupo_ocu9_damian,train,2120,1,1,3,321
grupo_ocu9_damian,train,1310,2,2,113,32741
grupo_ocu9_damian,train,6202,3,3,68,17787
grupo_ocu9_damian,train,5232,7,7,4,559
grupo_ocu9_damian,validation,6102,1,1,19,4485
grupo_ocu9_damian,validation,1211,2,3,1,103
grupo_ocu9_damian,validation,1423,2,3,1,103
grupo_ocu9_damian,validation,5343,8,9,6,3377
grupo_ocu9_damian,validation,6200,3,2,52,14172
grupo_ocu9_damian,validation,6160,1,4,19,5820
grupo_ocu9_damian,validation,5222,7,7,136,29965
grupo_ocu9_damian,train,5440,9,8,15,5756
grupo_ocu9_damian,train,5244,7,7,15,3676
grupo_ocu9_damian,train,1204,2,8,14,7401
grupo_ocu9_damian,train,1252,2,2,16,1870
grupo_ocu9_damian,validation,7131,4,4,19,7559
grupo_ocu9_damian,validation,1211,2,2,2,208
grupo_ocu9_damian,validation,1120,2,2,26,6377
grupo_ocu9_damian,validation,5440,9,2,22,4879
grupo_ocu9_damian,train,8160,5,9,1,96
grupo_ocu9_damian,train,6101,1,2,52,11259
grupo_ocu9_damian,train,5460,9,9,352,113232
grupo_ocu9_damian,validation,8301,1,1,8,3610
grupo_ocu9_damian,validation,5440,9,9,102,27247
grupo_ocu9_damian,validation,1205,2,1,6,374
grupo_ocu9_damian,validation,7133,4,4,15,2446
grupo_ocu9_damian,validation,1100,2,2,24,5593
grupo_ocu9_damian,train,1423,2,2,39,11565
grupo_ocu9_damian,train,5521,8,4,22,8772
grupo_ocu9_damian,train,6220,3,2,6,4691
grupo_ocu9_damian,train,7210,9,7,17,4922
grupo_ocu9_damian,train,7210,9,5,54,23401
grupo_ocu9_damian,validation,6101,1,1,41,9213
grupo_ocu9_damian,validation,1340,2,2,123,36287
grupo_ocu9_damian,validation,6111,1,2,47,12957
grupo_ocu9_damian,validation,6210,3,9,14,2378
grupo_ocu9_damian,validation,5460,9,7,58,19490
grupo_ocu9_damian,validation,5430,9,7,20,4331
grupo_ocu9_damian,train,7201,4,9,192,69963
grupo_ocu9_damian,train,5441,9,8,14,4922
grupo_ocu9_damian,train,5140,1,2,11,1498
grupo_ocu9_damian,train,5171,2,8,3,521
grupo_ocu9_damian,validation,8124,9,1,6,1379
grupo_ocu9_damian,validation,5121,8,8,8,2051
grupo_ocu9_damian,train,6102,1,1,17,3201
grupo_ocu9_damian,train,6130,1,2,13,5369
grupo_ocu9_damian,train,5140,1,1,7,2747
grupo_ocu9_damian,validation,1206,2,2,27,5566
grupo_ocu9_damian,validation,1359,2,2,4,428
grupo_ocu9_damian,validation,8151,5,2,23,9442
grupo_ocu9_damian,validation,8125,5,9,21,7477
grupo_ocu9_damian,validation,5240,7,7,8,2269
grupo_ocu9_damian,validation,6102,1,2,27,3054
grupo_ocu9_damian,validation,5400,9,5,24,7057
grupo_ocu9_damian,validation,1131,2,2,125,28512
grupo_ocu9_damian,train,6230,3,2,8,1562
grupo_ocu9_damian,train,1440,2,2,2,157
grupo_ocu9_damian,train,7130,4,4,87,25102
grupo_ocu9_damian,train,1320,2,2,191,49275
grupo_ocu9_damian,train,8125,5,9,13,3330
grupo_ocu9_damian,train,1450,2,2,1,94
grupo_ocu9_damian,validation,5344,8,2,10,1367
grupo_ocu9_damian,validation,2122,1,4,16,3365
grupo_ocu9_damian,validation,5266,7,7,11,3890
grupo_ocu9_damian,validation,7211,9,9,21,6542
grupo_ocu9_damian,validation,5203,7,9,4,1079
grupo_ocu9_damian,validation,6270,3,5,8,1852
grupo_ocu9_damian,validation,6260,3,3,7,867
grupo_ocu9_damian,validation,5202,7,5,10,3273
grupo_ocu9_damian,train,7100,4,7,7,1837
grupo_ocu9_damian,train,1105,2,8,4,390
grupo_ocu9_damian,train,1172,2,3,17,5830
grupo_ocu9_damian,train,8101,5,5,160,40349
grupo_ocu9_damian,train,5208,5,5,166,42025
grupo_ocu9_damian,train,8101,5,3,7,2107
grupo_ocu9_damian,validation,5160,1,2,4,491
grupo_ocu9_damian,validation,8150,3,5,7,1619
grupo_ocu9_damian,validation,1203,2,8,2,456
grupo_ocu9_damian,validation,1203,2,3,2,137
grupo_ocu9_damian,validation,5501,8,8,27,7321
grupo_ocu9_damian,train,6160,1,1,24,5436
grupo_ocu9_damian,train,1160,2,3,15,1876
grupo_ocu9_damian,train,5230,7,7,91,27613
grupo_ocu9_damian,train,5343,8,2,6,1759
grupo_ocu9_damian,train,5342,8,8,22,5014
grupo_ocu9_damian,train,5229,7,8,1,103
grupo_ocu9_damian,train,5222,7,8,11,1992
grupo_ocu9_damian,train,1206,2,2,37,9055
grupo_ocu9_damian,validation,2111,1,7,1,126
grupo_ocu9_damian,validation,6131,5,3,3,913
grupo_ocu9_damian,validation,5141,2,9,7,3023
grupo_ocu9_damian,train,6230,3,3,105,26043
grupo_ocu9_damian,train,1104,2,2,41,9687
grupo_ocu9_damian,train,5270,2,7,12,4319
grupo_ocu9_damian,train,5440,9,9,109,30037
grupo_ocu9_damian,train,1203,2,2,13,2767
grupo_ocu9_damian,validation,6220,3,3,27,6449
grupo_ocu9_damian,validation,6121,1,3,7,984
grupo_ocu9_damian,validation,5320,8,8,9,1822
grupo_ocu9_damian,validation,6132,1,2,1,138
grupo_ocu9_damian,validation,7111,4,9,70,24229
grupo_ocu9_damian,validation,6160,1,2,5,927
grupo_ocu9_damian,validation,6100,1,2,24,6495
grupo_ocu9_damian,validation,2120,1,1,7,516
grupo_ocu9_damian,validation,6221,3,4,10,2097
grupo_ocu9_damian,train,5267,7,7,50,11572
grupo_ocu9_damian,train,8190,5,9,13,2519
grupo_ocu9_damian,train,5502,8,9,4,1750
grupo_ocu9_damian,validation,7120,4,4,12,3285
grupo_ocu9_damian,validation,1201,2,3,2,239
grupo_ocu9_damian,validation,8125,5,5,68,17417
grupo_ocu9_damian,train,6180,1,1,7,2668
grupo_ocu9_damian,train,5301,8,8,2,302
grupo_ocu9_damian,train,6130,1,1,10,2809
grupo_ocu9_damian,train,4100,6,6,833,319346
grupo_ocu9_damian,train,4100,6,9,551,259145
grupo_ocu9_damian,train,8201,5,9,29,7772
grupo_ocu9_damian,validation,4100,6,6,867,361308
grupo_ocu9_damian,validation,7130,4,4,88,19576
grupo_ocu9_damian,validation,5151,7,9,1,73
