priority,rule_id,rule_type,source_code,target_code,scian_value,p4a_prefix,p4a_value,p4f_value,rule_label,scope,requires_enoe_auxiliary,target_3d,application_variables,decision_status,evidence_level,decision_layer,pair_n,train_pair_n,validation_pair_n,forward_share,reverse_share,train_forward_share,validation_forward_share,train_reverse_share,validation_reverse_share,accepted_on,evidence_source
20,CMO2012_SINCO2011_GLOBAL_8123,panel_global,8123,9622,,,,,CMO 8123 -> SINCO 9622,validacion_panel_ENOE,FALSE,962,cmo_4d,accepted,panel,priority_2_reciprocal_population50_global_4d,69,32,37,0.8411827113796762,0.8996641074856047,0.7740173015632115,0.8705102717031147,0.7749818181818182,0.9610454708199069,2026-09-12,Panel ENOE 2012-T2/T3
20,CMO2012_SINCO2011_GLOBAL_8124,panel_global,8124,9621,,,,,CMO 8124 -> SINCO 9621,validacion_panel_ENOE,FALSE,962,cmo_4d,accepted,panel,priority_2_reciprocal_population50_global_4d,688,345,343,0.5995489914948705,0.773184342778113,0.6093641301674525,0.5899191296614201,0.8081353951764556,0.7405973121803001,2026-09-12,Panel ENOE 2012-T2/T3
20,CMO2012_SINCO2011_GLOBAL_8125,panel_global,8125,5241,,,,,CMO 8125 -> SINCO 5241,validacion_panel_ENOE,FALSE,524,cmo_4d,accepted,panel,priority_2_reciprocal_population50_global_4d,104,51,53,0.5255866845859609,0.8174603174603174,0.5438367346938775,0.5051982635975631,0.8656321169429585,0.766679694042767,2026-09-12,Panel ENOE 2012-T2/T3
20,CMO2012_SINCO2011_GLOBAL_8200,panel_global,8200,9611,,,,,CMO 8200 -> SINCO 9611,validacion_panel_ENOE,FALSE,961,cmo_4d,accepted,panel,priority_2_reciprocal_population50_global_4d,2145,1095,1050,0.9216315072898477,0.9690190752162144,0.9283040720488127,0.9150057054205988,0.9688527410352473,0.9691848906560636,2026-09-12,Panel ENOE 2012-T2/T3
20,CMO2012_SINCO2011_GLOBAL_8301,panel_global,8301,5312,,,,,CMO 8301 -> SINCO 5312,validacion_panel_ENOE,FALSE,531,cmo_4d,accepted,panel,priority_2_reciprocal_population50_global_4d,470,256,214,0.7574605412022182,0.8942166294765337,0.7563606136492771,0.7590274759042466,0.9210452266448378,0.8583613955317003,2026-09-12,Panel ENOE 2012-T2/T3
20,CMO2012_SINCO2011_GLOBAL_8303,panel_global,8303,5313,,,,,CMO 8303 -> SINCO 5313,validacion_panel_ENOE,FALSE,531,cmo_4d,accepted,panel,priority_2_reciprocal_population50_global_4d,438,220,218,0.7702987223838127,0.8116180563959821,0.8059896153751507,0.7391196861396249,0.7932127674904532,0.8303124923767472,2026-09-12,Panel ENOE 2012-T2/T3
20,CMO2012_SINCO2011_GLOBAL_8312,panel_global,8312,5413,,,,,CMO 8312 -> SINCO 5413,validacion_panel_ENOE,FALSE,541,cmo_4d,accepted,panel,priority_2_reciprocal_population50_global_4d,79,41,38,0.7096420244136606,0.6151912654151285,0.866247128159025,0.5774742876412072,0.5951496318313856,0.6430246739844263,2026-09-12,Panel ENOE 2012-T2/T3
30,CMO2012_SINCO2011_SCIAN_1205_14,scian_sector,1205,2651,14,,,,CMO 1205 + SCIAN sector=14 -> SINCO 2651,aplicacion_auxiliar_ENOE,TRUE,265,cmo_4d|scian,accepted,auxiliary,priority_2b_reciprocal_population50_scian_4d,59,29,30,0.9125697869803241,0.8466770015502325,0.8359426681367145,0.9866723531293314,0.8586787851917534,0.8368109339407744,2026-09-12,Panel ENOE 2012-T2/T3
30,CMO2012_SINCO2011_SCIAN_1250_16,scian_sector,1250,2531,16,,,,CMO 1250 + SCIAN sector=16 -> SINCO 2531,aplicacion_auxiliar_ENOE,TRUE,253,cmo_4d|scian,accepted,auxiliary,priority_2b_reciprocal_population50_scian_4d,13,6,7,0.5937290033594624,0.9335431969220007,0.5380673499267935,0.6814772071552222,0.9450686641697877,0.918854415274463,2026-09-12,Panel ENOE 2012-T2/T3
30,CMO2012_SINCO2011_SCIAN_5246_19,scian_sector,5246,2634,19,,,,CMO 5246 + SCIAN sector=19 -> SINCO 2634,aplicacion_auxiliar_ENOE,TRUE,263,cmo_4d|scian,accepted,auxiliary,priority_2b_reciprocal_population50_scian_4d,24,12,12,0.5699985386526377,0.7428050652340752,0.5453597497393118,0.5878719112455875,0.8418814775445124,0.6868338087374268,2026-09-12,Panel ENOE 2012-T2/T3
30,CMO2012_SINCO2011_SCIAN_6230_16,scian_sector,6230,3211,16,,,,CMO 6230 + SCIAN sector=16 -> SINCO 3211,aplicacion_auxiliar_ENOE,TRUE,321,cmo_4d|scian,accepted,auxiliary,priority_2b_reciprocal_population50_scian_4d,63,34,29,0.6720886287005817,0.7251150399612497,0.6760680215678142,0.6688763894468996,0.6399935727484535,0.8110651415591791,2026-09-12,Panel ENOE 2012-T2/T3
30,CMO2012_SINCO2011_SCIAN_6270_15,scian_sector,6270,3115,15,,,,CMO 6270 + SCIAN sector=15 -> SINCO 3115,aplicacion_auxiliar_ENOE,TRUE,311,cmo_4d|scian,accepted,auxiliary,priority_2b_reciprocal_population50_scian_4d,42,23,19,0.5778953834522516,0.5914194816131749,0.5681195296613916,0.5891189606171335,0.6088593974175036,0.5723928781060458,2026-09-12,Panel ENOE 2012-T2/T3
30,CMO2012_SINCO2011_SCIAN_7121_18,scian_sector,7121,8344,18,,,,CMO 7121 + SCIAN sector=18 -> SINCO 8344,aplicacion_auxiliar_ENOE,TRUE,834,cmo_4d|scian,accepted,auxiliary,priority_2b_reciprocal_population50_scian_4d,12,7,5,0.6432971545907891,0.8793587174348697,0.8183652875882946,0.5715467328370554,0.875,0.8819400127632419,2026-09-12,Panel ENOE 2012-T2/T3
30,CMO2012_SINCO2011_SCIAN_7201_14,scian_sector,7201,9661,14,,,,CMO 7201 + SCIAN sector=14 -> SINCO 9661,aplicacion_auxiliar_ENOE,TRUE,966,cmo_4d|scian,accepted,auxiliary,priority_2b_reciprocal_population50_scian_4d,66,25,41,0.9711624274877287,1,1,0.9574240303055258,1,1,2026-09-12,Panel ENOE 2012-T2/T3
40,CMO2012_SINCO2011_P4A_SCIAN2_1205_81,p4a_scian2,1205,2643,,81,,,CMO 1205 + primeros 2 digitos de p4a=81 -> SINCO 2643,aplicacion_auxiliar_ENOE,TRUE,264,cmo_4d|p4a,accepted,auxiliary,priority_2c_remnant_p4a_scian2_reciprocal_population50,49,23,26,0.5408985539242742,0.7776440993109482,0.5808406904730531,0.5254237288135594,0.5904786613049682,0.9140588068450411,2026-09-12,Panel ENOE 2012-T2/T3
50,CMO2012_SINCO2011_P4F_7201_3,p4f,7201,9512,,,,3,CMO 7201 + p4f=3 -> SINCO 9512,aplicacion_auxiliar_ENOE,TRUE,951,cmo_4d|p4f,accepted,auxiliary,p4f_workplace_remnant_reciprocal_population50,94,41,53,0.627465953926435,0.9847820021812463,0.6813214901910665,0.5740541225679701,0.9775772236695199,0.993419218113881,2026-09-13,Panel ENOE 2012-T2/T3
50,CMO2012_SINCO2011_P4F_7201_8,p4f,7201,4224,,,,8,CMO 7201 + p4f=8 -> SINCO 4224,aplicacion_auxiliar_ENOE,TRUE,422,cmo_4d|p4f,accepted,auxiliary,p4f_workplace_remnant_reciprocal_population50,269,134,135,0.8910756947389106,0.8917737502408747,0.863662960795787,0.9160995489435784,0.8738000263007935,0.9072546391557963,2026-09-13,Panel ENOE 2012-T2/T3
60,CMO2012_SINCO2011_P4A_P4F_7201_4632_2,p4a_p4f,7201,9512,,,4632,2,CMO 7201 + p4a=4632 + p4f=2 -> SINCO 9512,aplicacion_auxiliar_ENOE,TRUE,951,cmo_4d|p4a|p4f,accepted,auxiliary,p4a_p4f_remnant_reciprocal_population50,57,29,28,0.547,1,0.532,0.565,1,1,2026-09-13,Panel ENOE 2012-T2/T3
