p3coe,origen,registros,poblacion,discrepancias
5171,puente_general,96,34402,0
5306,puente_general,106,33833,0
6140,puente_general,123,32458,0
5264,puente_general,110,32278,0
5342,puente_general,114,32201,0
5101,puente_general,128,31373,0
5203,puente_general,81,30827,0
1151,puente_general,123,30183,0
1260,puente_general,123,29854,0
1431,puente_general,91,29590,0
5550,puente_general,80,29540,0
8159,puente_general,149,28531,0
5431,puente_general,61,28472,0
5262,puente_general,123,28021,0
6211,puente_general,92,26992,0
1120,puente_general,122,26569,0
5382,puente_general,50,26377,0
7134,puente_general,101,26147,0
1203,puente_general,129,25826,0
5232,puente_general,63,25547,0
5333,puente_general,68,25508,0
5353,puente_general,61,25328,0
5332,puente_general,78,25271,0
5340,puente_general,79,24957,0
5304,puente_general,64,24935,0
6133,puente_general,89,24857,0
5281,puente_general,102,24146,0
5243,puente_general,85,23814,0
8209,puente_general,81,23060,0
5250,puente_general,73,22982,0
5522,puente_general,66,22433,0
1222,puente_general,38,22067,0
5225,puente_general,96,22058,0
5206,puente_general,83,21695,0
5244,puente_general,92,21117,0
5320,puente_general,86,20405,0
1362,puente_general,76,20254,0
1121,puente_general,73,20186,0
5371,puente_general,67,19921,0
7211,puente_general,68,19852,0
5324,puente_general,64,19709,0
5330,puente_general,73,19673,0
1173,puente_general,55,19604,0
2101,puente_general,76,19013,0
1150,puente_general,83,19011,0
6231,puente_general,90,18997,0
5130,puente_general,32,18767,0
4135,puente_general,70,18538,0
5331,puente_general,46,18453,0
5252,puente_general,74,18382,0
1250,puente_general,74,17663,0
5451,puente_general,38,17641,0
7200,puente_general,82,17614,0
1134,puente_general,62,17596,0
5334,puente_general,62,17450,0
1161,puente_general,76,17151,0
6203,puente_general,53,17125,0
5180,puente_general,46,17106,0
5390,puente_general,37,16210,0
6190,puente_general,59,16053,0
1240,puente_general,58,15705,0
8132,puente_general,74,15676,0
7219,puente_general,21,15083,0
6170,puente_general,85,14937,0
5131,puente_general,55,14931,0
1420,puente_general,57,14551,0
5210,puente_general,65,14427,0
5310,puente_general,66,14344,0
8204,puente_general,68,14112,0
6229,puente_general,22,13749,0
6250,puente_general,43,13658,0
2128,puente_general,50,13441,0
1411,puente_general,53,13232,0
4136,puente_general,52,13121,0
1450,puente_general,51,12692,0
8300,puente_general,68,12624,0
4115,puente_general,32,12286,0
5490,puente_general,51,12229,0
5120,puente_general,64,12218,0
5300,puente_general,28,12076,0
5151,puente_general,40,12071,0
5461,puente_general,20,12013,0
1451,puente_general,43,11883,0
4190,puente_general,32,11727,0
1432,puente_general,54,11575,0
5247,puente_general,39,11527,0
9999,puente_general,19,11486,0
8160,puente_general,30,11393,0
1103,puente_general,41,11229,0
4114,puente_general,39,11189,0
5352,puente_general,36,10937,0
2110,puente_general,56,10470,0
1460,puente_general,28,10075,0
5350,puente_general,39,9841,0
1201,puente_general,43,9800,0
