cmo,cmo_label,official_n_destinations,destinations_4d,labels_sinco,n_values_3d,consensus_3d,n_values_2d,consensus_2d,n_values_1d,consensus_1d,all_have_isco88,n_values_isco88,consensus_isco88,n_values_supervision,consensus_supervision,records,population
7130,"Agentes, representantes, distribuidores y proveedores de ventas",1,4221,Agentes y representantes de ventas y consignatarios,1,422,1,42,1,4,TRUE,1,3415,1,0,1565,377224
1220,Enfermeros y técnicos en medicina humana,7,2811|2817|2821|2823|2824|2825|2826,"Enfermeras (técnicas) || Técnicos en medicina alternativa || Auxiliares en enfermería y paramédicos || Auxiliares hospitalarios y de medicina || Parteras || Técnicos en seguridad en el trabajo e higiene || Curanderos, hierberos y hueseros",2,NA,1,28,1,2,FALSE,4,NA,1,0,1280,357870
1172,Contadores públicos,2,2121|2122,Contadores y auditores || Asesores y analistas en finanzas,1,212,1,21,1,2,TRUE,1,2411,1,0,1445,354646
4108,"Trabajadores en otros cultivos agrícolas no mencionados anteriormente (caña, nopal, cártamo, etcétera)",1,6116,Trabajadores en otros cultivos agrícolas,1,611,1,61,1,6,TRUE,1,6111,1,0,840,327603
1320,Profesores de enseñanza secundaria,1,2331,Profesores de enseñanza secundaria,1,233,1,23,1,2,TRUE,1,2320,1,0,1344,327321
8126,Cargadores y descargadores de mercancías,1,9331,Cargadores,1,933,1,93,1,9,TRUE,1,9333,1,0,976,316158
8130,"Peluqueros, barberos, estilistas y peinadores",1,5211,"Peluqueros, barberos, estilistas y peinadores",1,521,1,52,1,5,TRUE,1,5141,1,0,1200,310898
5230,"Carpinteros, ebanistas, barnizadores, cepilladores y similares, en la elaboración de productos de madera",3,7123|7311|7312,"Carpinteros de obra negra || Carpinteros, ebanistas y cepilladores en la elaboración de productos de madera || Pintores y barnizadores de madera",2,NA,2,NA,1,7,TRUE,2,NA,1,0,1060,308936
1160,Abogados,1,2135,Abogados,1,213,1,21,1,2,TRUE,1,2421,1,0,1178,302750
5345,Ensambladores y montadores de partes eléctricas y electrónicas,1,8212,Ensambladores y montadores de partes eléctricas y electrónicas,1,821,1,82,1,8,TRUE,1,8282,1,0,955,299088
8301,Policías y agentes de tránsito,3,1526|5301|5312,Coordinadores y jefes de área en servicios de vigilancia y seguridad || Supervisores en servicios de protección y vigilancia || Policías y agentes de tránsito,3,NA,2,NA,2,NA,TRUE,3,NA,2,NA,1001,293593
6111,"Jefes de departamento, coordinadores y supervisores en administración, recursos humanos, materiales, archivo y similares",1,1511,"Coordinadores y jefes de área en administración, recursos humanos y mercadotecnia",1,151,1,15,1,1,TRUE,1,1232,1,0,1062,287126
1340,Profesores de enseñanza preescolar,1,2335,Profesores de enseñanza preescolar,1,233,1,23,1,2,TRUE,1,2332,1,0,1135,279995
6230,Recepcionistas y otros trabajadores que brindan información,3,3211|3212|4232,Recepcionistas y trabajadores que brindan información (de forma personal) || Trabajadores que brindan información por teléfono (centro de llamadas) y anunciadores || Edecanes,2,NA,2,NA,2,NA,TRUE,3,NA,1,0,1011,271515
1130,Médicos generales y especialistas,4,2411|2412|2425|2427,"Médicos generales y familiares || Médicos especialistas || Especialistas en medicina tradicional y alternativa || Fisioterapeutas, audiólogos y logopedas",2,NA,1,24,1,2,TRUE,3,NA,1,0,1094,263027
