cmo,cmo_label,official_n_destinations,destinations_4d,labels_sinco,n_values_3d,consensus_3d,n_values_2d,consensus_2d,n_values_1d,consensus_1d,all_have_isco88,n_values_isco88,consensus_isco88,n_values_supervision,consensus_supervision,records,population
1101,Ingenieros civiles y de la construcción,1,2261,Ingenieros civiles y de la construcción,1,226,1,22,1,2,TRUE,1,2142,1,0,271,62027
5161,"Supervisores, inspectores y similares en la construcción, instalación, mantenimiento y acabados",1,7101,"Supervisores de trabajadores en la extracción, albañiles y en acabados de la construcción",1,710,1,71,1,7,TRUE,1,7111,1,1,281,60210
5441,"Cargadores, abastecedores, empacadores manuales y similares en la fabricación metalúrgica y en la fabricación de maquinaria y productos metálicos, eléctricos y electrónicos",1,9231,"Trabajadores de apoyo en la elaboración, reparación y mantenimiento mecánico de equipos, maquinaria y productos de metal y de precisión",1,923,1,92,1,9,TRUE,1,9322,1,0,182,59104
1252,"Técnicos en ciencias administrativas, hotelería y turismo",1,2511,"Auxiliares en administración, mercadotecnia, comercialización y comercio exterior",1,251,1,25,1,2,TRUE,1,4121,1,0,248,58298
1171,Administradores de empresas,1,2111,Administradores y especialistas en recursos humanos y sistemas de gestión,1,211,1,21,1,2,TRUE,1,2412,1,0,173,58175
5240,"Moldeadores, caldereros y torneros",1,7211,"Moldeadores, torneros y troqueladores",1,721,1,72,1,7,TRUE,1,7313,1,0,186,57988
1230,Técnicos laboratoristas químicos y biólogos,3,2612|2813|2827,"Auxiliares y técnicos en ciencias biológicas, químicas y del medio ambiente || Técnicos de laboratorios médicos || Fumigadores y controladores de plagas",3,NA,2,NA,1,2,TRUE,3,NA,1,0,226,57892
8203,Jardineros en casas particulares,1,5242,Jardineros en casas particulares,1,524,1,52,1,5,TRUE,1,6113,1,0,222,57320
8190,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,5999,"Otras ocupaciones en servicios personales y vigilancia, no clasificadas anteriormente",1,599,1,59,1,5,FALSE,0,NA,1,0,207,55265
6260,"Despachadores, checadores y similares en la operación del transporte",2,3141|3142,Despachadores de transporte || Checadores y revisores de transporte,1,314,1,31,1,3,TRUE,1,4133,1,0,174,54708
5272,Reparadores de equipos electromecánicos,1,2646,Trabajadores en reparación de equipos electromecánicos,1,264,1,26,1,2,TRUE,1,3114,1,0,200,53678
6240,Telefonistas,1,3213,Telefonistas y telegrafistas,1,321,1,32,1,3,TRUE,1,4223,1,0,173,53221
4111,Trabajadores en la cría de porcinos,1,6122,Trabajadores en la cría de porcinos,1,612,1,61,1,6,TRUE,1,6121,1,0,137,52018
6180,"Otros jefes de departamento, coordinadores y supervisores en actividades no clasificadas anteriormente",3,1723|5201|9601,"Coordinadores y jefes de área en servicios funerarios y otros servicios || Supervisores y encargados de trabajadores en cuidados personales y del hogar || Supervisores en limpieza, amas de llaves, mayordomos y en estacionamientos",3,NA,3,NA,3,NA,TRUE,3,NA,2,NA,181,51703
5321,"Operadores de telares y máquinas para fabricar tejidos de punto, telas y alfombras",1,8152,"Operadores de máquinas para fabricar tejidos de punto, telas y alfombras",1,815,1,81,1,8,TRUE,1,8262,1,0,128,50972
8120,Porteros y conserjes en establecimiento,1,5313,Vigilantes y guardias en establecimientos,1,531,1,53,1,5,TRUE,1,5169,1,0,116,50815
8312,Trabajadores de la fuerza armada terrestre,3,1525|5401|5413,"Capitanes, tenientes y jefes de área de las fuerzas armadas || Supervisores de las fuerzas armadas || Trabajadores de la fuerza armada terrestre",3,NA,2,NA,2,NA,TRUE,2,NA,2,NA,198,50520
5224,Bordadores y deshiladores,1,7343,Bordadores y deshiladores,1,734,1,73,1,7,TRUE,1,7436,1,0,186,49526
5500,Conductores de maquinaria móvil agrícola y forestal,1,6311,Operadores de maquinaria agropecuaria y forestal,1,631,1,63,1,6,TRUE,1,8331,1,0,169,49048
5380,Operadores de máquinas para el tratamiento de sustancias químicas y agua,2,8131|8134,Operadores de máquinas para la elaboración de productos químicos || Operadores de máquinas para el tratamiento de agua,1,813,1,81,1,8,TRUE,2,NA,1,0,126,48291
6220,Trabajadores en archivo y correspondencia,1,3131,Trabajadores en archivo y correspondencia,1,313,1,31,1,3,TRUE,1,4141,1,0,164,47195
5181,"Supervisores, inspectores y similares en la fabricación de químicos, petroquímica, hule, caucho y plástico",1,7401,"Supervisores de artesanos y trabajadores en la elaboración de productos de hule, caucho, plásticos y de sustancias químicas",1,740,1,74,1,7,TRUE,1,7343,1,1,142,46234
1360,Profesores e instructores de educación artística,1,2712,Instructores en estudios y capacitación artística,1,271,1,27,1,2,TRUE,1,2359,1,0,152,46012
4112,Trabajadores en la cría avícola,1,6123,Trabajadores en la cría avícola,1,612,1,61,1,6,TRUE,1,6122,1,0,175,45792
6130,"Jefes de departamento, coordinadores y supervisores en servicios estadísticos e informáticos",2,1621|3201,Coordinadores y jefes de área en informática || Supervisores de trabajadores que brindan y manejan información,2,NA,2,NA,2,NA,TRUE,2,NA,2,NA,134,45536
8131,"Maquillistas, manicuristas y pedicuristas",1,5212,"Maquillistas, manicuristas, pedicuristas y tatuadores",1,521,1,52,1,5,TRUE,1,5141,1,0,161,45455
5421,"Cargadores, abastecedores, empacadores manuales y similares en la fabricación de textiles y productos de cuero, piel y similares.",1,9235,Trabajadores de apoyo en la industria textil y del zapato,1,923,1,92,1,9,TRUE,1,9322,1,0,133,45370
8111,Tintoreros y planchadores,1,9642,Planchadores y tintoreros en establecimientos,1,964,1,96,1,9,TRUE,1,9133,1,0,118,44678
6100,"Jefes de departamento, coordinadores y supervisores en servicios de salud y asistencia social",2,1521|2524,"Coordinadores y jefes de área en servicios de salud, protección civil y medio ambiente || Inspectores en seguridad social, de precios y otros inspectores públicos",2,NA,2,NA,2,NA,TRUE,2,NA,1,0,220,44470
6150,"Jefes de departamento, coordinadores y supervisores en servicios culturales y de esparcimiento",2,1721|1722,"Coordinadores y jefes de área en actividades artísticas, de cine, teatro y afines || Coordinadores y jefes de área en museos, cines, deportivos y servicios culturales",1,172,1,17,1,1,TRUE,1,1319,1,0,129,43662
4109,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,2,6119|9111,"Otros trabajadores en actividades agrícolas, no clasificados anteriormente || Trabajadores de apoyo en actividades agrícolas",2,NA,2,NA,2,NA,TRUE,2,NA,1,0,187,43443
5223,"Artesanos y confeccionadores de productos de tela, cuero, piel y similares (excepto prendas de vestir)",1,7342,Artesanos y confeccionadores de productos textiles,1,734,1,73,1,7,TRUE,1,7332,1,0,135,43148
5480,"Ayudantes, peones y similares en la fabricación de químicos, petroquímica, hule, caucho y plástico",1,9233,"Trabajadores de apoyo en la industria química, petroquímica y plásticos",1,923,1,92,1,9,TRUE,1,9322,1,0,129,43079
1200,Técnicos en dibujo,1,2625,Dibujantes técnicos,1,262,1,26,1,2,TRUE,1,3112,1,0,160,42870
1401,Periodistas y redactores,2,2152|2153,Periodistas y redactores || Traductores e intérpretes,1,215,1,21,1,2,TRUE,2,NA,1,0,154,40690
7212,Lavadores y cuidadores de coches sin establecimiento,2,9632|9634,Lavadores de vehículos en vía pública || Cuidadores de autos por propina,1,963,1,96,1,9,TRUE,1,9142,1,0,143,40226
6102,"Jefes de departamento, coordinadores y supervisores en administración de justicia y procesos electorales",1,1524,"Coordinadores y jefes de área en servicios legales, jueces calificadores y fiscales",1,152,1,15,1,1,TRUE,1,1319,1,0,220,39274
6232,"Encuestadores, codificadores, verificadores y similares",2,3231|3232,Encuestadores || Codificadores de información,1,323,1,32,1,3,FALSE,1,NA,1,0,150,39167
5233,"Impresores, linotipistas, fotograbadores y similares",1,7322,"Impresores, linotipistas, fotograbadores y encuadernadores",1,732,1,73,1,7,TRUE,1,7345,1,0,170,39075
8202,Choferes en casas particulares,1,8343,Choferes en casas particulares,1,834,1,83,1,8,TRUE,1,8322,1,0,138,38792
5302,"Operadores de máquinas en la fabricación de pan, tortilla, repostería y otros productos de cereales y harinas",1,8161,"Operadores de máquinas en la elaboración de alimentos, aceites, grasas, sal y especias",1,816,1,81,1,8,TRUE,1,8273,1,0,125,38462
5201,Trabajadores en la elaboración de productos lácteos,1,7512,Trabajadores en la elaboración de productos lácteos,1,751,1,75,1,7,TRUE,1,7411,1,0,127,36719
5121,"Supervisores, inspectores y similares en la fabricación de textiles y productos de cuero, piel y similares",1,8101,Supervisores de operadores de maquinaria industrial,1,810,1,81,1,8,TRUE,1,8111,1,1,155,36516
4132,Trabajadores en viveros,1,6223,Trabajadores en viveros e invernaderos,1,622,1,62,1,6,TRUE,1,6113,1,0,148,35945
5450,"Ayudantes, peones y similares en la fabricación de productos de cerámica, vidrio y otros minerales no metálicos",1,9237,"Trabajadores de apoyo en la industria de la cerámica, vidrio y similares",1,923,1,92,1,9,TRUE,1,9322,1,0,145,35703
2123,"Directores, gerentes y administradores de área o establecimientos en comunicaciones y transportes",2,1322|1323,Directores y gerentes en comunicación y telecomunicaciones || Directores y gerentes en servicios de transporte,1,132,1,13,1,1,TRUE,2,NA,1,0,105,34457
5171,"Supervisores, inspectores y similares en la generación de energía, la instalación, reparación y mantenimiento de equipo eléctrico y de telecomunicaciones",1,2640,"Supervisores de técnicos eléctricos, en electrónica y de equipos en telecomunicaciones y electromecánicos",1,264,1,26,1,2,TRUE,1,3114,1,1,96,34402
5306,Operadores de máquinas en la fabricación de bebidas alcohólicas y no alcohólicas,1,8163,Operadores de máquinas en la elaboración de bebidas alcohólicas y no alcohólicas,1,816,1,81,1,8,TRUE,1,8279,1,0,106,33833
6140,"Jefes de departamento, coordinadores y supervisores en servicios de infraestructura (agua, luz, caminos, etcétera)",1,2523,Agentes de recaudación tributaria y de licencias,1,252,1,25,1,2,TRUE,1,3444,1,0,123,32458
4170,"Capataces, caporales, mayorales y similares en actividades agropecuarias,silvícolas y pesqueras",2,6101|6201,"Supervisores, encargados y capataces agropecuarios || Supervisores, encargados y capataces de trabajadores en actividades pesqueras, acuícolas, forestales, caza y similares",2,NA,2,NA,1,6,TRUE,2,NA,1,1,114,32389
5264,"Instaladores de mosaicos, azulejos, pisos y baldosas",1,7132,"Instaladores de pisos, azulejos, mosaicos y baldosas",1,713,1,71,1,7,TRUE,1,7132,1,0,110,32278
5342,"Operadores de máquinas pulidoras, galvanizadoras y recubridoras de metal",1,8123,"Operadores de máquinas que cortan, perforan, doblan, troquelan, sueldan, etc., piezas y productos metálicos",1,812,1,81,1,8,TRUE,1,8211,1,0,114,32201
5101,"Supervisores, inspectores y similares en la fabricación de alimentos, bebidas y productos de tabaco",1,7501,"Supervisores de trabajadores en la elaboración y procesamiento de alimentos, bebidas y productos de tabaco",1,750,1,75,1,7,TRUE,1,7416,1,1,128,31373
1221,Técnicos en odontología y mecánica dental,2,2815|2822,Técnicos de prótesis médicas y dentales || Auxiliares y asistentes dentales,2,NA,1,28,1,2,TRUE,2,NA,1,0,130,31305
5203,Trabajadores en la elaboración de productos a base de frutas y verduras,1,7514,Trabajadores en la elaboración de productos a base de frutas y verduras,1,751,1,75,1,7,TRUE,1,7414,1,0,81,30827
1390,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,2,2339|2391,"Otros profesores de nivel básico, no clasificados anteriormente || Otros profesores y especialistas en docencia, no clasificados anteriormente",2,NA,1,23,1,2,TRUE,1,2340,1,0,152,30543
1151,Veterinarios y zootecnistas,1,2232,Veterinarios y zootecnistas,1,223,1,22,1,2,TRUE,1,2223,1,0,123,30183
1260,Técnicos en actividades religiosas,1,2533,Monjas y predicadores,1,253,1,25,1,2,TRUE,1,3432,1,0,123,29854
1431,"Productores y organizadores de actividades artísticas, culturales y deportivas",1,1422,"Directores y gerentes de museos, cines y otros establecimientos deportivos y culturales",1,142,1,14,1,1,TRUE,1,1229,1,0,91,29590
5550,Conductores de vehículos de transporte de tracción humana,1,9321,Conductores de vehículos de transporte en bicicleta,1,932,1,93,1,9,TRUE,1,8311,1,0,80,29540
8159,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,5999,"Otras ocupaciones en servicios personales y vigilancia, no clasificadas anteriormente",1,599,1,59,1,5,FALSE,0,NA,1,0,149,28531
5431,"Cargadores, abastecedores, empacadores manuales y similares en la fabricación de productos de madera y papel, y trabajos de impresión",1,9234,"Trabajadores de apoyo en la industria de la madera, papel y cartón",1,923,1,92,1,9,TRUE,1,9322,1,0,61,28472
5262,"Yeseros, escayolistas y otros recubridores de techos y paredes",1,7131,"Yeseros, escayolistas y otros recubridores de techos y paredes",1,713,1,71,1,7,TRUE,1,7133,1,0,123,28021
6211,Taquilleros y empleados de ventanilla,1,3121,"Cajeros, taquilleros y receptores de apuestas",1,312,1,31,1,3,TRUE,1,4212,1,0,92,26992
1120,Químicos,1,2222,Químicos,1,222,1,22,1,2,TRUE,1,2121,1,0,122,26569
5382,Operadores de máquinas para la fabricación de productos farmacéuticos y cosméticos,1,8132,Operadores de máquinas para la elaboración de productos farmacéuticos y cosméticos,1,813,1,81,1,8,TRUE,1,8221,1,0,50,26377
7134,Valuadores,1,2514,"Valuadores, subastadores y rematadores",1,251,1,25,1,2,TRUE,1,3417,1,0,101,26147
1203,"Técnicos en ingeniería topográfica, hidrológica, geológica y geodésica",1,2622,"Auxiliares y técnicos topógrafos, en hidrología y geología",1,262,1,26,1,2,TRUE,1,3111,1,0,129,25826
5232,Artesanos y trabajadores fabriles en la elaboración de productos de papel y cartón,1,7321,Artesanos y trabajadores en la elaboración de productos de papel y cartón,1,732,1,73,1,7,TRUE,1,7331,1,0,63,25547
5333,Operadores de máquinas para la impresión y encuadernación,1,8144,Operadores de máquinas para la impresión y encuadernación,1,814,1,81,1,8,TRUE,1,8252,1,0,68,25508
5353,Operadores de máquinas en la fabricación de vidrio y productos de vidrio y similares,1,8173,Operadores de máquinas en la elaboración de vidrio y productos de vidrio y similares,1,817,1,81,1,8,TRUE,1,8131,1,0,61,25328
5332,"Operadores de máquinas para la fabricación de productos de madera y similares (bejuco, vara, carrizo, mimbre, etcétera)",1,8142,"Operadores de máquinas para la elaboración de productos de madera, bejuco, mimbre y similares",1,814,1,81,1,8,TRUE,1,8240,1,0,78,25271
5340,"Operadores de hornos metalúrgicos, coladores y laminadores",1,8121,"Operadores de hornos metalúrgicos, coladores y laminadores y operadores de máquinas trefiladoras y estiradoras de metales",1,812,1,81,1,8,TRUE,1,8124,1,0,79,24957
5304,"Operadores de máquinas en la fabricación de azúcar, café, chocolate, té y confitería",1,8161,"Operadores de máquinas en la elaboración de alimentos, aceites, grasas, sal y especias",1,816,1,81,1,8,TRUE,1,8273,1,0,64,24935
6133,"Jefes de departamento, coordinadores y supervisores en otros servicios Especializados",1,1629,"Otros coordinadores y jefes de área en informática, telecomunicaciones, transporte y en investigación y desarrollo tecnológico, no clasificados anteriormente",1,162,1,16,1,1,TRUE,1,1319,1,0,89,24857
5281,Trabajadores en la elaboración de sustancias y compuestos químicos,1,7412,Trabajadores en la elaboración de sustancias y compuestos químicos,1,741,1,74,1,7,TRUE,1,7346,1,0,102,24146
5243,"Joyeros, orfebres, plateros, latoneros y cobreros",1,7223,"Joyeros, orfebres, plateros y pulidores de metal",1,722,1,72,1,7,TRUE,1,7313,1,0,85,23814
8209,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,9611,Trabajadores domésticos,1,961,1,96,1,9,TRUE,1,9131,1,0,81,23060
5250,Alfareros y trabajadores ceramistas,1,7611,Alfareros y trabajadores ceramistas,1,761,1,76,1,7,TRUE,1,7321,1,0,73,22982
5522,Ayudantes de conductor,1,9311,Ayudantes de conductores de transporte terrestre con motor,1,931,1,93,1,9,TRUE,1,9331,1,0,66,22433
1222,Técnicos en optometría y similares,1,2812,"Técnicos en aparatos de diagnóstico, tratamiento médico, podólogos y fisioterapeutas",1,281,1,28,1,2,TRUE,1,3221,1,0,38,22067
5225,Tapiceros,1,7351,Tapiceros,1,735,1,73,1,7,TRUE,1,7435,1,0,96,22058
5206,Trabajadores en la elaboración de bebidas alcohólicas y no alcohólicas,1,7517,Trabajadores en la elaboración de bebidas alcohólicas y no alcohólicas,1,751,1,75,1,7,TRUE,1,7414,1,0,83,21695
4134,Cortadores y recolectores de leña,2,6225|9124,Cortadores de leña || Recolectores de leña y acarreadores de agua,2,NA,2,NA,2,NA,TRUE,2,NA,1,0,76,21151
5244,"Cerrajeros, pulidores de metal y afiladores de herramientas",1,7222,"Cerrajeros, afiladores y pulidores de herramientas",1,722,1,72,1,7,TRUE,1,7222,1,0,92,21117
5320,Operadores de máquinas de hilar y rebobinar,1,8151,Operadores de máquinas y equipos de hilar y bobinar fibras textiles naturales y sintéticas,1,815,1,81,1,8,TRUE,1,8269,1,0,86,20405
1362,Profesores e instructores en idiomas extranjeros,1,2714,Instructores en idiomas extranjeros,1,271,1,27,1,2,TRUE,1,2359,1,0,76,20254
1121,Farmacólogos,1,2428,Farmacólogos,1,242,1,24,1,2,TRUE,1,2212,1,0,73,20186
5371,"Operadores de equipo de bombeo, ventilación y refrigeración",1,8134,Operadores de máquinas para el tratamiento de agua,1,813,1,81,1,8,TRUE,1,8163,1,0,67,19921
7211,Limpiadores de calzado,1,9624,Limpiadores de calzado,1,962,1,96,1,9,TRUE,1,9120,1,0,68,19852
5324,"Operadores de máquinas para blanquear, teñir, limpiar y planchar productos textiles, de cuero, piel y similares",1,8155,"Operadores de máquinas de lavado, blanqueo, teñido, estampado, afelpado, planchado y acabado de productos textiles, cuero, piel y similares",1,815,1,81,1,8,TRUE,1,8264,1,0,64,19709
5330,Operadores de máquinas para el tratamiento de la madera y fabricación de triplay y aglomerados,1,8141,Operadores de máquinas para el tratamiento de la madera y elaboración de aglomerados y triplay,1,814,1,81,1,8,TRUE,1,8290,1,0,73,19673
1173,Profesionistas en mercadotecnia,1,2112,"Especialistas y consultores en mercadotecnia, publicidad, comunicación y comercio exterior",1,211,1,21,1,2,TRUE,1,2419,1,0,55,19604
2101,Presidentes y autoridades municipales,1,1113,Presidentes y autoridades municipales,1,111,1,11,1,1,TRUE,1,1110,1,0,76,19013
1150,Agrónomos,1,2231,Agrónomos,1,223,1,22,1,2,TRUE,1,2213,1,0,83,19011
6231,Trabajadores en agencias de viajes,1,3221,Trabajadores en agencias de viajes,1,322,1,32,1,3,TRUE,1,4221,1,0,90,18997
4119,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,2,6129|9112,"Otros trabajadores en actividades ganaderas y en la cría de animales, no clasificados anteriormente || Trabajadores de apoyo en actividades ganaderas",2,NA,2,NA,2,NA,TRUE,2,NA,1,0,65,18905
5130,"Jefes, coordinadores y similares en la fabricación de productos de madera y papel, y en trabajos de impresión",1,1614,Coordinadores y jefes de área en producción manufacturera,1,161,1,16,1,1,TRUE,1,1312,1,0,32,18767
4135,Productores de carbón vegetal,1,6227,Productores de carbón vegetal,1,622,1,62,1,6,TRUE,1,6142,1,0,70,18538
5331,Operadores de máquinas en la elaboración de celulosa y fabricación de papel y similares,1,8143,"Operadores de máquinas en la elaboración de celulosa, papel y similares",1,814,1,81,1,8,TRUE,1,8142,1,0,46,18453
5252,Trabajadores del vidrio y similares,1,7613,Trabajadores del vidrio y similares,1,761,1,76,1,7,TRUE,1,7322,1,0,74,18382
5451,"Cargadores, abastecedores, empacadores manuales y similares en la fabricación de productos de cerámica, vidrio y otros minerales no metálicos",1,9237,"Trabajadores de apoyo en la industria de la cerámica, vidrio y similares",1,923,1,92,1,9,TRUE,1,9322,1,0,38,17641
7200,Vendedores ambulantes de periódicos y lotería,1,9511,Vendedores ambulantes de periódicos y lotería,1,951,1,95,1,9,TRUE,1,9112,1,0,82,17614
1134,Profesionistas en nutrición,1,2423,Nutriólogos,1,242,1,24,1,2,TRUE,1,3223,1,0,62,17596
5170,"Jefes, coordinadores y similares en la generación de energía, la instalación, reparación y mantenimiento de equipo eléctrico y de telecomunicaciones",2,1613|8101,Coordinadores y jefes de área en generación y provisión de energía eléctrica y agua || Supervisores de operadores de maquinaria industrial,2,NA,2,NA,2,NA,TRUE,2,NA,2,NA,63,17537
5334,Operadores de máquinas para la fabricación de productos a base de papel y cartón,1,8145,Operadores de máquinas para la elaboración de productos a base de papel y cartón,1,814,1,81,1,8,TRUE,1,8253,1,0,62,17450
1161,Sociólogos y demógrafos,2,2132|2143,Investigadores y especialistas en sociología y desarrollo social || Especialistas en trabajo social,2,NA,1,21,1,2,TRUE,2,NA,1,0,76,17151
6203,"Operadores de máquinas de oficina (copiadora, mimeógrafo, telex, etcétera)",1,3114,"Operadores de máquinas de oficina (fotocopiadora, etcétera)",1,311,1,31,1,3,TRUE,1,4141,1,0,53,17125
5180,"Jefes, coordinadores y similares en la fabricación de químicos, petroquímica, hule, caucho y plástico",1,1614,Coordinadores y jefes de área en producción manufacturera,1,161,1,16,1,1,TRUE,1,1312,1,0,46,17106
5390,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,8199,"Otros operadores de instalaciones y maquinaria fija industrial, no clasificados anteriormente",1,819,1,81,1,8,TRUE,1,8172,1,0,37,16210
6190,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,1624,Coordinadores y jefes de área en centros de investigación y desarrollo tecnológico,1,162,1,16,1,1,TRUE,1,2139,1,0,59,16053
1240,Técnicos en agronomía,1,2613,Auxiliares y técnicos en agronomía,1,261,1,26,1,2,TRUE,1,3211,1,0,58,15705
8132,Bañeros y masajistas,1,5213,Bañeros y masajistas,1,521,1,52,1,5,TRUE,1,5169,1,0,74,15676
7219,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,1,9332,Cargadores por propina,1,933,1,93,1,9,TRUE,1,9332,1,0,21,15083
6170,"Jefes de departamento, coordinadores y supervisores en servicios agropecuarios, pesqueros y forestales",1,1611,"Coordinadores y jefes de área en producción agropecuaria, silvícola y pesquera",1,161,1,16,1,1,TRUE,1,1311,1,0,85,14937
5131,"Supervisores, inspectores y similares en la fabricación de productos de madera y papel, y en trabajos de impresión",1,8101,Supervisores de operadores de maquinaria industrial,1,810,1,81,1,8,TRUE,1,8111,1,1,55,14931
1420,Pintores y dibujantes artísticos,2,2161|2162,"Pintores || Dibujantes y diseñadores artísticos, ilustradores y grabadores",1,216,1,21,1,2,TRUE,2,NA,1,0,57,14551
5210,Mineros,1,7111,Mineros y trabajadores en la extracción en minas de minerales metálicos,1,711,1,71,1,7,TRUE,1,7111,1,0,65,14427
5310,Operadores de máquinas y equipos para la extracción en minas y canteras,1,8111,Operadores de máquinas y equipos para la extracción y beneficio en minas y canteras,1,811,1,81,1,8,TRUE,1,8333,1,0,66,14344
8204,Vigilantes y porteros en casas particulares,1,5314,Vigilantes y porteros en casas particulares,1,531,1,53,1,5,TRUE,1,5162,1,0,68,14112
6229,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,3999,"Otras secretarias, capturistas, cajeros y trabajadores que brindan información, no clasificados anteriormente",1,399,1,39,1,3,TRUE,1,4190,1,0,22,13749
6250,Carteros,1,9721,Carteros (a pie y en bicicleta),1,972,1,97,1,9,TRUE,1,4142,1,0,43,13658
2128,"Directores, gerentes y administradores de área o establecimientos en el sector agropecuario, silvícola y pesquero",1,1311,"Directores y gerentes en producción agropecuaria, silvícola y pesquera",1,131,1,13,1,1,TRUE,1,1221,1,0,50,13441
1411,Cantantes,1,2173,Cantantes,1,217,1,21,1,2,TRUE,1,2453,1,0,53,13232
4136,"Trabajadores en la recolección de plantas, hierbas y raíces no cultivadas",1,6226,"Trabajadores en actividades de recolección de plantas, hierbas y raíces no cultivadas",1,622,1,62,1,6,TRUE,1,6141,1,0,52,13121
1450,Árbitros y jueces deportivos,1,2563,Árbitros y jueces deportivos,1,256,1,25,1,2,TRUE,1,3475,1,0,51,12692
8300,Bomberos (contra incendio),1,5311,Bomberos,1,531,1,53,1,5,TRUE,1,5161,1,0,68,12624
4115,"Trabajadores en la cría de equinos (caballos, burros y mulas)",1,6125,Trabajadores en la cría de equinos,1,612,1,61,1,6,TRUE,1,6121,1,0,32,12286
5490,"Otros ayudantes, peones y similares no clasificados anteriormente",1,9239,"Trabajadores de apoyo en la industria, no clasificados anteriormente",1,923,1,92,1,9,TRUE,1,9322,1,0,51,12229
5120,"Jefes, coordinadores y similares en la fabricación de textiles y productos de cuero, piel y similares",1,1614,Coordinadores y jefes de área en producción manufacturera,1,161,1,16,1,1,TRUE,1,1312,1,0,64,12218
5300,"Operadores de máquinas en la preparación de la carne, pescado y sus derivados",1,8161,"Operadores de máquinas en la elaboración de alimentos, aceites, grasas, sal y especias",1,816,1,81,1,8,TRUE,1,8273,1,0,28,12076
5151,"Supervisores, inspectores y similares en la fabricación de productos de cerámica, vidrio y otros minerales no metálicos",1,7601,"Supervisores de artesanos y trabajadores en la elaboración de productos de cerámica, vidrio, azulejo y similares",1,760,1,76,1,7,TRUE,1,7321,1,1,40,12071
5461,Cargadores y similares en la construcción,1,9222,Trabajadores de apoyo en plomería e instalación de tuberías,1,922,1,92,1,9,TRUE,1,9312,1,0,20,12013
1451,Entrenadores deportivos,1,2562,Entrenadores deportivos y directores técnicos,1,256,1,25,1,2,TRUE,1,3475,1,0,43,11883
4190,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,6999,"Otros trabajadores en actividades agrícolas, ganaderas, forestales, caza y pesca, no clasificados anteriormente",1,699,1,69,1,6,TRUE,1,6130,1,0,32,11727
1432,"Locutores, conductores y comentaristas de radio y televisión",1,2551,"Locutores de radio, televisión y otros medios de comunicación",1,255,1,25,1,2,TRUE,1,3472,1,0,54,11575
5247,"Mecánicos, ajustadores, instaladores y trabajadores de mantenimiento y reparación de instrumentos musicales (pianos, etc.) y de precisión (relojes, básculas, etcétera)",1,2636,Mecánicos en mantenimiento y reparación de instrumentos de precisión y musicales,1,263,1,26,1,2,TRUE,1,3115,1,0,39,11527
9999,Ocupaciones no especificadas,1,9999,Ocupaciones no especificadas,1,999,1,99,1,9,TRUE,1,9999,1,0,19,11486
8160,Trabajadores en servicios funerarios y en panteones,1,5253,Trabajadores en servicios funerarios,1,525,1,52,1,5,TRUE,1,5143,1,0,30,11393
1103,"Ingenieros en topografía, hidrología, geología y geodesia",1,2262,"Ingenieros en topografía, hidrología, geología y geodesia",1,226,1,22,1,2,TRUE,1,2142,1,0,41,11229
4114,Trabajadores en la apicultura,1,6126,Trabajadores en la apicultura,1,612,1,61,1,6,TRUE,1,6123,1,0,39,11189
5352,"Operadores de máquinas en la fabricación de cemento, cal, yeso y productos de cemento",1,8171,"Operadores de máquinas en la elaboración de cemento, cal, yeso y productos de cemento",1,817,1,81,1,8,TRUE,1,8278,1,0,36,10937
4151,Trabajadores en actividades de acuacultura,2,6212|9122,Trabajadores en actividades de acuacultura || Trabajadores de apoyo en actividades de acuicultura y pesca,2,NA,2,NA,2,NA,TRUE,2,NA,1,0,30,10544
2110,"Presidentes, directores y gerentes generales en instituciones y empresas públicas, descentralizadas y paraestatales",1,1121,Presidentes y directores generales en instituciones públicas,1,112,1,11,1,1,TRUE,1,1110,1,0,56,10470
5111,"Supervisores, inspectores y similares en la extracción en minas, canteras y pozos",2,7101|8101,"Supervisores de trabajadores en la extracción, albañiles y en acabados de la construcción || Supervisores de operadores de maquinaria industrial",2,NA,2,NA,2,NA,TRUE,2,NA,1,1,52,10227
1460,Animadores y anunciadores,1,2552,Animadores y organizadores de eventos,1,255,1,25,1,2,TRUE,1,3472,1,0,28,10075
5350,Operadores de máquinas en la fabricación de productos de cerámica,1,8172,"Operadores de máquinas en la elaboración de productos de cerámica, mosaico, azulejo y similares",1,817,1,81,1,8,TRUE,1,8212,1,0,39,9841
1201,Técnicos en ingeniería civil y de la construcción,1,2624,Auxiliares y técnicos en construcción y arquitectura,1,262,1,26,1,2,TRUE,1,3112,1,0,43,9800
