stage,function_name,classification,required_sinco_level,additional_requirements,applicable,records_total,population_total,records_classified,records_pending,population_classified,population_pending,record_coverage,population_coverage
previous_implemented,procesar_vars_laborales,skill_level,sinco1d,Solo requiere SINCO 1d,TRUE,170325,48766853,170325,0,48766853,0,1,1
previous_implemented,procesar_vars_laborales,mismatch,sinco1d,Tambien requiere escolaridad valida,TRUE,170325,48766853,170240,85,48743627,23226,0.9995009540584178,0.9995237338771891
previous_implemented,calcular_desajuste_estadistico,mismatch2,sinco1d,Tambien requiere anios_es y referencia estimable,TRUE,170325,48766853,170063,262,48685019,81834,0.9984617642741818,0.9983219339578874
previous_implemented,procesar_clases_damian,grupo_ocu9_damian,sinco1d (4d preferido para clase),Solo requiere SINCO 1d,TRUE,170325,48766853,170325,0,48766853,0,1,1
previous_implemented,procesar_clases_damian,isco88_damian,sinco4d,Requiere correspondencia SINCO-ISCO88,TRUE,170325,48766853,105360,64965,31272117,17494736,0.6185821224130339,0.6412576386669856
previous_implemented,procesar_clases_damian,clase_ocu_damian,sinco1d (4d preferido para clase),Puede recuperar por gran grupo SINCO,TRUE,170325,48766853,170325,0,48766853,0,1,1
previous_implemented,procesar_clases_damian,calificada_damian,sinco1d (4d preferido para clase),Derivada de clase_ocu_damian,TRUE,170325,48766853,170325,0,48766853,0,1,1
previous_implemented,procesar_clases_damian,manual_damian,sinco1d (4d preferido para clase),Derivada de clase_ocu_damian,TRUE,170325,48766853,170325,0,48766853,0,1,1
previous_implemented,procesar_clases_damian,supervisa_damian,sinco4d,Solo requiere SINCO 4d,TRUE,170325,48766853,105785,64540,31370773,17396080,0.6210773521209453,0.6432806521265582
previous_implemented,procesar_clases_damian,clase_egp13_damian,sinco4d,Tambien requiere posicion y tamano del establecimiento,TRUE,170325,48766853,105891,64434,31397832,17369021,0.6216996917657419,0.6438355167187023
previous_implemented,procesar_clases_damian,clase_egp7_damian,sinco4d,Derivada de clase_egp13_damian,TRUE,170325,48766853,105891,64434,31397832,17369021,0.6216996917657419,0.6438355167187023
previous_implemented,procesar_clases_damian,clase_alt6_damian,sinco4d,Derivada de clase_egp13_damian,TRUE,170325,48766853,105891,64434,31397832,17369021,0.6216996917657419,0.6438355167187023
previous_implemented,procesar_clases_damian,macro_egp4_damian,sinco4d,Derivada de clase_egp13_damian,TRUE,170325,48766853,105891,64434,31397832,17369021,0.6216996917657419,0.6438355167187023
previous_implemented,procesar_clases_damian,macro_solis4_damian,sinco4d,Derivada de clase_egp13_damian,TRUE,170325,48766853,105891,64434,31397832,17369021,0.6216996917657419,0.6438355167187023
previous_implemented,procesar_clases_damian,egp3_damian,sinco4d,Derivada de clase_egp13_damian,TRUE,170325,48766853,105891,64434,31397832,17369021,0.6216996917657419,0.6438355167187023
previous_implemented,procesar_clases_damian,baja_damian,sinco4d,Derivada de clase_egp13_damian,TRUE,170325,48766853,105891,64434,31397832,17369021,0.6216996917657419,0.6438355167187023
previous_implemented,procesar_clases_damian,alta_damian,sinco4d,Derivada de clase_egp13_damian,TRUE,170325,48766853,105891,64434,31397832,17369021,0.6216996917657419,0.6438355167187023
all_accepted_enoe,procesar_vars_laborales,skill_level,sinco1d,Solo requiere SINCO 1d,TRUE,170325,48766853,170325,0,48766853,0,1,1
