cmo,classification,old_value,new_value,n,w_pre,w_post,historical_target_official,forward,unique_forward,reverse,unique_reverse,train_n,validation_n,train_forward,validation_forward,train_reverse,validation_reverse,train_unique_forward,validation_unique_forward,train_unique_reverse,validation_unique_reverse,accepted,reason
7210,grupo_ocu9_damian,9,4,84,28855,29191,TRUE,0.1286882760097046,FALSE,1,TRUE,49,35,0.14493019501366747,0.11331875075950905,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,clasificaciones_discrepantes
5208,grupo_ocu9_damian,5,8,2,486,494,TRUE,0.004108060589667298,FALSE,1,TRUE,1,1,0.002082314809785069,0.005881700144268117,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,clasificaciones_discrepantes
5262,grupo_ocu9_damian,7,7,24,5147,4947,TRUE,1,TRUE,1,TRUE,9,15,1,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel
5520,grupo_ocu9_damian,8,8,1215,371037,369210,TRUE,0.9534500657840638,TRUE,1,TRUE,580,635,0.948179324138595,0.9583252951855205,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel
8122,grupo_ocu9_damian,9,4,2,164,167,TRUE,0.008759280029909737,FALSE,1,TRUE,2,NA,0.02000487923883874,NA,1,NA,FALSE,NA,TRUE,NA,FALSE,clasificaciones_discrepantes
6221,grupo_ocu9_damian,3,3,198,56367,56635,TRUE,0.5637320105211573,TRUE,1,TRUE,89,109,0.5407098121085595,0.5811811037465497,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel
1205,grupo_ocu9_damian,2,2,299,83383,82708,TRUE,0.8660829282479539,TRUE,1,TRUE,142,157,0.8814917052312522,0.8564854614412136,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel
5101,grupo_ocu9_damian,7,9,6,1373,1404,TRUE,0.1006819681748185,FALSE,1,TRUE,3,3,0.059192552868562176,0.20990942994139583,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,clasificaciones_discrepantes
8301,grupo_ocu9_damian,1,5,497,132041,131554,TRUE,0.8163226193346563,TRUE,1,TRUE,274,223,0.8228287632315495,0.8070540974023054,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,clasificaciones_discrepantes
1251,grupo_ocu9_damian,2,2,172,48897,48800,TRUE,0.5059810840456135,TRUE,1,TRUE,88,84,0.4220162794989031,0.5915387026010654,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,sin_mayoria_reciproca_estable
5343,grupo_ocu9_damian,8,8,168,34441,34701,TRUE,0.6457122501781094,TRUE,1,TRUE,77,91,0.6107818554821062,0.6797453360971276,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel
7210,grupo_ocu9_damian,9,9,493,147841,150044,TRUE,0.6593451191665477,TRUE,1,TRUE,232,261,0.5952686712286045,0.7199798621599569,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel
8130,grupo_ocu9_damian,5,5,388,106548,105368,TRUE,0.9985099384295313,TRUE,1,TRUE,192,196,0.9971419327006039,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel
5340,grupo_ocu9_damian,8,8,20,4219,4262,TRUE,0.6722434671765456,TRUE,1,TRUE,8,12,0.7465986394557823,0.6550980392156863,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel
5440,grupo_ocu9_damian,9,2,52,17169,14886,TRUE,0.1699497149192271,FALSE,1,TRUE,30,22,0.21271808363334258,0.11281446540880503,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,clasificaciones_discrepantes
6210,grupo_ocu9_damian,3,3,331,87975,88286,TRUE,0.7127637164986875,TRUE,1,TRUE,172,159,0.7212728884541314,0.7031654080893762,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel
5245,grupo_ocu9_damian,2,2,347,92988,93775,TRUE,0.8411169303411034,TRUE,1,TRUE,172,175,0.864677333737772,0.8196176801314765,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel
6202,grupo_ocu9_damian,3,2,36,10468,11269,TRUE,0.2039472402439262,FALSE,1,TRUE,15,21,0.2201972242512783,0.185367686975404,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,clasificaciones_discrepantes
5120,grupo_ocu9_damian,1,8,9,1052,1058,TRUE,0.45938864628820963,TRUE,1,TRUE,3,6,0.20986842105263157,0.951948051948052,1,1,FALSE,TRUE,TRUE,TRUE,FALSE,clasificaciones_discrepantes
5261,grupo_ocu9_damian,7,7,115,26199,26609,TRUE,0.7893642663452847,TRUE,1,TRUE,48,67,0.782157552626871,0.7967237074477803,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel
