cmo,classification,method,rule_id,records,population
4160,clase_egp13_damian,consenso_destinos_oficiales,OFICIAL_4160,50,8027
5159,clase_egp13_damian,consenso_destinos_oficiales,OFICIAL_5159,1,37
6130,clase_egp13_damian,consenso_destinos_oficiales,OFICIAL_6130,17,6841
5380,clase_egp13_damian,consenso_destinos_oficiales,OFICIAL_5380,2,356
7121,clase_egp13_damian,consenso_destinos_oficiales,OFICIAL_7121,1,445
5246,clase_egp7_damian,consenso_destinos_oficiales,OFICIAL_5246,435,126487
8100,clase_egp7_damian,consenso_destinos_oficiales,OFICIAL_8100,3505,985462
1105,clase_egp7_damian,consenso_destinos_oficiales,OFICIAL_1105,657,186122
5400,clase_egp7_damian,consenso_destinos_oficiales,OFICIAL_5400,1734,453965
2127,clase_egp7_damian,consenso_destinos_oficiales,OFICIAL_2127,455,111666
6130,clase_egp7_damian,consenso_destinos_oficiales,OFICIAL_6130,134,45536
2124,clase_egp7_damian,consenso_destinos_oficiales,OFICIAL_2124,456,127106
1423,clase_egp7_damian,consenso_destinos_oficiales,OFICIAL_1423,482,152065
2121,clase_egp7_damian,consenso_destinos_oficiales,OFICIAL_2121,636,183740
6260,clase_egp7_damian,consenso_destinos_oficiales,OFICIAL_6260,174,54708
6150,clase_egp7_damian,consenso_destinos_oficiales,OFICIAL_6150,128,43527
6160,clase_egp7_damian,consenso_destinos_oficiales,OFICIAL_6160,612,171457
6101,clase_egp7_damian,consenso_destinos_oficiales,OFICIAL_6101,440,93003
2100,clase_egp7_damian,consenso_destinos_oficiales,OFICIAL_2100,22,4550
2125,clase_egp7_damian,consenso_destinos_oficiales,OFICIAL_2125,427,98368
2123,clase_egp7_damian,consenso_destinos_oficiales,OFICIAL_2123,96,31195
6232,clase_egp7_damian,consenso_destinos_oficiales,OFICIAL_6232,150,39167
1104,clase_egp7_damian,consenso_destinos_oficiales,OFICIAL_1104,318,89773
1221,clase_egp7_damian,consenso_destinos_oficiales,OFICIAL_1221,130,31305
6110,clase_egp7_damian,consenso_destinos_oficiales,OFICIAL_6110,353,97836
1390,clase_egp7_damian,consenso_destinos_oficiales,OFICIAL_1390,152,30543
6100,clase_egp7_damian,consenso_destinos_oficiales,OFICIAL_6100,220,44470
4170,clase_egp7_damian,consenso_destinos_oficiales,OFICIAL_4170,106,29736
6121,clase_egp7_damian,consenso_destinos_oficiales,OFICIAL_6121,194,63894
5111,clase_egp7_damian,consenso_destinos_oficiales,OFICIAL_5111,52,10227
5380,clase_egp7_damian,consenso_destinos_oficiales,OFICIAL_5380,126,48291
2133,clase_egp7_damian,consenso_destinos_oficiales,OFICIAL_2133,18,3798
5410,clase_egp7_damian,consenso_destinos_oficiales,OFICIAL_5410,48,7842
5249,clase_egp7_damian,consenso_destinos_oficiales,OFICIAL_5249,17,5042
4160,clase_egp7_damian,consenso_destinos_oficiales,OFICIAL_4160,50,8027
5159,clase_egp7_damian,consenso_destinos_oficiales,OFICIAL_5159,1,37
8310,clase_egp7_damian,consenso_destinos_oficiales,OFICIAL_8310,3,292
7121,clase_egp7_damian,consenso_destinos_oficiales,OFICIAL_7121,1,445
5246,clase_alt6_damian,consenso_destinos_oficiales,OFICIAL_5246,435,126487
8100,clase_alt6_damian,consenso_destinos_oficiales,OFICIAL_8100,3505,985462
1105,clase_alt6_damian,consenso_destinos_oficiales,OFICIAL_1105,657,186122
5400,clase_alt6_damian,consenso_destinos_oficiales,OFICIAL_5400,1734,453965
2127,clase_alt6_damian,consenso_destinos_oficiales,OFICIAL_2127,455,111666
6130,clase_alt6_damian,consenso_destinos_oficiales,OFICIAL_6130,134,45536
2124,clase_alt6_damian,consenso_destinos_oficiales,OFICIAL_2124,456,127106
5100,clase_alt6_damian,consenso_destinos_oficiales,OFICIAL_5100,37,15446
6230,clase_alt6_damian,consenso_destinos_oficiales,OFICIAL_6230,723,196601
1423,clase_alt6_damian,consenso_destinos_oficiales,OFICIAL_1423,482,152065
2121,clase_alt6_damian,consenso_destinos_oficiales,OFICIAL_2121,636,183740
6260,clase_alt6_damian,consenso_destinos_oficiales,OFICIAL_6260,174,54708
6150,clase_alt6_damian,consenso_destinos_oficiales,OFICIAL_6150,128,43527
6160,clase_alt6_damian,consenso_destinos_oficiales,OFICIAL_6160,612,171457
6101,clase_alt6_damian,consenso_destinos_oficiales,OFICIAL_6101,440,93003
2100,clase_alt6_damian,consenso_destinos_oficiales,OFICIAL_2100,22,4550
2125,clase_alt6_damian,consenso_destinos_oficiales,OFICIAL_2125,427,98368
2123,clase_alt6_damian,consenso_destinos_oficiales,OFICIAL_2123,96,31195
6232,clase_alt6_damian,consenso_destinos_oficiales,OFICIAL_6232,150,39167
1104,clase_alt6_damian,consenso_destinos_oficiales,OFICIAL_1104,318,89773
1221,clase_alt6_damian,consenso_destinos_oficiales,OFICIAL_1221,130,31305
6110,clase_alt6_damian,consenso_destinos_oficiales,OFICIAL_6110,353,97836
1390,clase_alt6_damian,consenso_destinos_oficiales,OFICIAL_1390,152,30543
7121,clase_alt6_damian,consenso_destinos_oficiales,OFICIAL_7121,267,69432
6100,clase_alt6_damian,consenso_destinos_oficiales,OFICIAL_6100,220,44470
1204,clase_alt6_damian,consenso_destinos_oficiales,OFICIAL_1204,39,6536
4170,clase_alt6_damian,consenso_destinos_oficiales,OFICIAL_4170,106,29736
6180,clase_alt6_damian,consenso_destinos_oficiales,OFICIAL_6180,8,2302
6121,clase_alt6_damian,consenso_destinos_oficiales,OFICIAL_6121,194,63894
5111,clase_alt6_damian,consenso_destinos_oficiales,OFICIAL_5111,52,10227
2133,clase_alt6_damian,consenso_destinos_oficiales,OFICIAL_2133,18,3798
5410,clase_alt6_damian,consenso_destinos_oficiales,OFICIAL_5410,48,7842
1205,clase_alt6_damian,consenso_destinos_oficiales,OFICIAL_1205,11,2045
5249,clase_alt6_damian,consenso_destinos_oficiales,OFICIAL_5249,17,5042
1230,clase_alt6_damian,consenso_destinos_oficiales,OFICIAL_1230,4,1902
5170,clase_alt6_damian,consenso_destinos_oficiales,OFICIAL_5170,7,3000
4160,clase_alt6_damian,consenso_destinos_oficiales,OFICIAL_4160,50,8027
5159,clase_alt6_damian,consenso_destinos_oficiales,OFICIAL_5159,1,37
8310,clase_alt6_damian,consenso_destinos_oficiales,OFICIAL_8310,3,292
5141,clase_alt6_damian,consenso_destinos_oficiales,OFICIAL_5141,3,543
5380,clase_alt6_damian,consenso_destinos_oficiales,OFICIAL_5380,2,356
5246,macro_egp4_damian,consenso_destinos_oficiales,OFICIAL_5246,435,126487
8100,macro_egp4_damian,consenso_destinos_oficiales,OFICIAL_8100,3505,985462
1105,macro_egp4_damian,consenso_destinos_oficiales,OFICIAL_1105,657,186122
5400,macro_egp4_damian,consenso_destinos_oficiales,OFICIAL_5400,1734,453965
2127,macro_egp4_damian,consenso_destinos_oficiales,OFICIAL_2127,455,111666
6130,macro_egp4_damian,consenso_destinos_oficiales,OFICIAL_6130,134,45536
2124,macro_egp4_damian,consenso_destinos_oficiales,OFICIAL_2124,456,127106
6230,macro_egp4_damian,consenso_destinos_oficiales,OFICIAL_6230,735,201084
1423,macro_egp4_damian,consenso_destinos_oficiales,OFICIAL_1423,482,152065
2121,macro_egp4_damian,consenso_destinos_oficiales,OFICIAL_2121,636,183740
6260,macro_egp4_damian,consenso_destinos_oficiales,OFICIAL_6260,174,54708
6150,macro_egp4_damian,consenso_destinos_oficiales,OFICIAL_6150,128,43527
6160,macro_egp4_damian,consenso_destinos_oficiales,OFICIAL_6160,612,171457
6101,macro_egp4_damian,consenso_destinos_oficiales,OFICIAL_6101,440,93003
2100,macro_egp4_damian,consenso_destinos_oficiales,OFICIAL_2100,22,4550
2125,macro_egp4_damian,consenso_destinos_oficiales,OFICIAL_2125,427,98368
2123,macro_egp4_damian,consenso_destinos_oficiales,OFICIAL_2123,96,31195
6232,macro_egp4_damian,consenso_destinos_oficiales,OFICIAL_6232,150,39167
1104,macro_egp4_damian,consenso_destinos_oficiales,OFICIAL_1104,318,89773
1221,macro_egp4_damian,consenso_destinos_oficiales,OFICIAL_1221,130,31305
6110,macro_egp4_damian,consenso_destinos_oficiales,OFICIAL_6110,353,97836
1390,macro_egp4_damian,consenso_destinos_oficiales,OFICIAL_1390,152,30543
6100,macro_egp4_damian,consenso_destinos_oficiales,OFICIAL_6100,220,44470
4170,macro_egp4_damian,consenso_destinos_oficiales,OFICIAL_4170,106,29736
6121,macro_egp4_damian,consenso_destinos_oficiales,OFICIAL_6121,194,63894
5111,macro_egp4_damian,consenso_destinos_oficiales,OFICIAL_5111,52,10227
5380,macro_egp4_damian,consenso_destinos_oficiales,OFICIAL_5380,126,48291
2133,macro_egp4_damian,consenso_destinos_oficiales,OFICIAL_2133,18,3798
5410,macro_egp4_damian,consenso_destinos_oficiales,OFICIAL_5410,48,7842
6270,macro_egp4_damian,consenso_destinos_oficiales,OFICIAL_6270,7,1718
5249,macro_egp4_damian,consenso_destinos_oficiales,OFICIAL_5249,17,5042
7201,macro_egp4_damian,consenso_destinos_oficiales,OFICIAL_7201,31,7276
4160,macro_egp4_damian,consenso_destinos_oficiales,OFICIAL_4160,50,8027
5159,macro_egp4_damian,consenso_destinos_oficiales,OFICIAL_5159,1,37
8310,macro_egp4_damian,consenso_destinos_oficiales,OFICIAL_8310,3,292
7121,macro_egp4_damian,consenso_destinos_oficiales,OFICIAL_7121,1,445
5246,macro_solis4_damian,consenso_destinos_oficiales,OFICIAL_5246,435,126487
8100,macro_solis4_damian,consenso_destinos_oficiales,OFICIAL_8100,3505,985462
1105,macro_solis4_damian,consenso_destinos_oficiales,OFICIAL_1105,657,186122
5400,macro_solis4_damian,consenso_destinos_oficiales,OFICIAL_5400,1734,453965
2127,macro_solis4_damian,consenso_destinos_oficiales,OFICIAL_2127,455,111666
6130,macro_solis4_damian,consenso_destinos_oficiales,OFICIAL_6130,134,45536
2124,macro_solis4_damian,consenso_destinos_oficiales,OFICIAL_2124,456,127106
1423,macro_solis4_damian,consenso_destinos_oficiales,OFICIAL_1423,482,152065
2121,macro_solis4_damian,consenso_destinos_oficiales,OFICIAL_2121,636,183740
6260,macro_solis4_damian,consenso_destinos_oficiales,OFICIAL_6260,174,54708
6150,macro_solis4_damian,consenso_destinos_oficiales,OFICIAL_6150,128,43527
6160,macro_solis4_damian,consenso_destinos_oficiales,OFICIAL_6160,612,171457
6101,macro_solis4_damian,consenso_destinos_oficiales,OFICIAL_6101,440,93003
2100,macro_solis4_damian,consenso_destinos_oficiales,OFICIAL_2100,22,4550
2125,macro_solis4_damian,consenso_destinos_oficiales,OFICIAL_2125,427,98368
2123,macro_solis4_damian,consenso_destinos_oficiales,OFICIAL_2123,96,31195
6232,macro_solis4_damian,consenso_destinos_oficiales,OFICIAL_6232,150,39167
1104,macro_solis4_damian,consenso_destinos_oficiales,OFICIAL_1104,318,89773
1221,macro_solis4_damian,consenso_destinos_oficiales,OFICIAL_1221,130,31305
6110,macro_solis4_damian,consenso_destinos_oficiales,OFICIAL_6110,353,97836
1390,macro_solis4_damian,consenso_destinos_oficiales,OFICIAL_1390,152,30543
1250,macro_solis4_damian,consenso_destinos_oficiales,OFICIAL_1250,421,98103
6100,macro_solis4_damian,consenso_destinos_oficiales,OFICIAL_6100,220,44470
4170,macro_solis4_damian,consenso_destinos_oficiales,OFICIAL_4170,106,29736
6121,macro_solis4_damian,consenso_destinos_oficiales,OFICIAL_6121,194,63894
5111,macro_solis4_damian,consenso_destinos_oficiales,OFICIAL_5111,52,10227
5380,macro_solis4_damian,consenso_destinos_oficiales,OFICIAL_5380,126,48291
2133,macro_solis4_damian,consenso_destinos_oficiales,OFICIAL_2133,18,3798
5410,macro_solis4_damian,consenso_destinos_oficiales,OFICIAL_5410,48,7842
5249,macro_solis4_damian,consenso_destinos_oficiales,OFICIAL_5249,17,5042
4160,macro_solis4_damian,consenso_destinos_oficiales,OFICIAL_4160,50,8027
5159,macro_solis4_damian,consenso_destinos_oficiales,OFICIAL_5159,1,37
8310,macro_solis4_damian,consenso_destinos_oficiales,OFICIAL_8310,3,292
7121,macro_solis4_damian,consenso_destinos_oficiales,OFICIAL_7121,1,445
5246,egp3_damian,consenso_destinos_oficiales,OFICIAL_5246,435,126487
8100,egp3_damian,consenso_destinos_oficiales,OFICIAL_8100,3505,985462
1105,egp3_damian,consenso_destinos_oficiales,OFICIAL_1105,657,186122
5400,egp3_damian,consenso_destinos_oficiales,OFICIAL_5400,1734,453965
2127,egp3_damian,consenso_destinos_oficiales,OFICIAL_2127,455,111666
6130,egp3_damian,consenso_destinos_oficiales,OFICIAL_6130,134,45536
2124,egp3_damian,consenso_destinos_oficiales,OFICIAL_2124,456,127106
6230,egp3_damian,consenso_destinos_oficiales,OFICIAL_6230,735,201084
1423,egp3_damian,consenso_destinos_oficiales,OFICIAL_1423,482,152065
2121,egp3_damian,consenso_destinos_oficiales,OFICIAL_2121,636,183740
6260,egp3_damian,consenso_destinos_oficiales,OFICIAL_6260,174,54708
6150,egp3_damian,consenso_destinos_oficiales,OFICIAL_6150,128,43527
6160,egp3_damian,consenso_destinos_oficiales,OFICIAL_6160,612,171457
4120,egp3_damian,consenso_destinos_oficiales,OFICIAL_4120,278,62979
6101,egp3_damian,consenso_destinos_oficiales,OFICIAL_6101,440,93003
2100,egp3_damian,consenso_destinos_oficiales,OFICIAL_2100,22,4550
2125,egp3_damian,consenso_destinos_oficiales,OFICIAL_2125,427,98368
2123,egp3_damian,consenso_destinos_oficiales,OFICIAL_2123,96,31195
6232,egp3_damian,consenso_destinos_oficiales,OFICIAL_6232,150,39167
1104,egp3_damian,consenso_destinos_oficiales,OFICIAL_1104,318,89773
1221,egp3_damian,consenso_destinos_oficiales,OFICIAL_1221,130,31305
6110,egp3_damian,consenso_destinos_oficiales,OFICIAL_6110,353,97836
1390,egp3_damian,consenso_destinos_oficiales,OFICIAL_1390,152,30543
6100,egp3_damian,consenso_destinos_oficiales,OFICIAL_6100,220,44470
4170,egp3_damian,consenso_destinos_oficiales,OFICIAL_4170,114,32389
6121,egp3_damian,consenso_destinos_oficiales,OFICIAL_6121,194,63894
5111,egp3_damian,consenso_destinos_oficiales,OFICIAL_5111,52,10227
4109,egp3_damian,consenso_destinos_oficiales,OFICIAL_4109,163,34923
5380,egp3_damian,consenso_destinos_oficiales,OFICIAL_5380,126,48291
2133,egp3_damian,consenso_destinos_oficiales,OFICIAL_2133,18,3798
5410,egp3_damian,consenso_destinos_oficiales,OFICIAL_5410,48,7842
6270,egp3_damian,consenso_destinos_oficiales,OFICIAL_6270,7,1718
5249,egp3_damian,consenso_destinos_oficiales,OFICIAL_5249,17,5042
4134,egp3_damian,consenso_destinos_oficiales,OFICIAL_4134,21,5450
7201,egp3_damian,consenso_destinos_oficiales,OFICIAL_7201,31,7276
4119,egp3_damian,consenso_destinos_oficiales,OFICIAL_4119,64,17446
4151,egp3_damian,consenso_destinos_oficiales,OFICIAL_4151,26,10145
4160,egp3_damian,consenso_destinos_oficiales,OFICIAL_4160,50,8027
5159,egp3_damian,consenso_destinos_oficiales,OFICIAL_5159,1,37
8310,egp3_damian,consenso_destinos_oficiales,OFICIAL_8310,3,292
4139,egp3_damian,consenso_destinos_oficiales,OFICIAL_4139,1,403
7121,egp3_damian,consenso_destinos_oficiales,OFICIAL_7121,1,445
5246,baja_damian,consenso_destinos_oficiales,OFICIAL_5246,435,126487
8100,baja_damian,consenso_destinos_oficiales,OFICIAL_8100,3505,985462
1105,baja_damian,consenso_destinos_oficiales,OFICIAL_1105,657,186122
5400,baja_damian,consenso_destinos_oficiales,OFICIAL_5400,1734,453965
2127,baja_damian,consenso_destinos_oficiales,OFICIAL_2127,455,111666
6270,baja_damian,consenso_destinos_oficiales,OFICIAL_6270,2758,620311
5100,baja_damian,consenso_destinos_oficiales,OFICIAL_5100,209,65204
5141,baja_damian,consenso_destinos_oficiales,OFICIAL_5141,589,162091
6130,baja_damian,consenso_destinos_oficiales,OFICIAL_6130,134,45536
2124,baja_damian,consenso_destinos_oficiales,OFICIAL_2124,456,127106
6230,baja_damian,consenso_destinos_oficiales,OFICIAL_6230,735,201084
1423,baja_damian,consenso_destinos_oficiales,OFICIAL_1423,482,152065
1205,baja_damian,consenso_destinos_oficiales,OFICIAL_1205,664,166429
2121,baja_damian,consenso_destinos_oficiales,OFICIAL_2121,636,183740
6260,baja_damian,consenso_destinos_oficiales,OFICIAL_6260,174,54708
6150,baja_damian,consenso_destinos_oficiales,OFICIAL_6150,128,43527
6160,baja_damian,consenso_destinos_oficiales,OFICIAL_6160,612,171457
1230,baja_damian,consenso_destinos_oficiales,OFICIAL_1230,226,57892
6101,baja_damian,consenso_destinos_oficiales,OFICIAL_6101,440,93003
2100,baja_damian,consenso_destinos_oficiales,OFICIAL_2100,22,4550
1204,baja_damian,consenso_destinos_oficiales,OFICIAL_1204,581,153339
2125,baja_damian,consenso_destinos_oficiales,OFICIAL_2125,427,98368
2123,baja_damian,consenso_destinos_oficiales,OFICIAL_2123,96,31195
6232,baja_damian,consenso_destinos_oficiales,OFICIAL_6232,150,39167
1104,baja_damian,consenso_destinos_oficiales,OFICIAL_1104,318,89773
1221,baja_damian,consenso_destinos_oficiales,OFICIAL_1221,130,31305
7121,baja_damian,consenso_destinos_oficiales,OFICIAL_7121,197,52849
6110,baja_damian,consenso_destinos_oficiales,OFICIAL_6110,353,97836
1390,baja_damian,consenso_destinos_oficiales,OFICIAL_1390,152,30543
1250,baja_damian,consenso_destinos_oficiales,OFICIAL_1250,421,98103
6100,baja_damian,consenso_destinos_oficiales,OFICIAL_6100,220,44470
4170,baja_damian,consenso_destinos_oficiales,OFICIAL_4170,106,29736
6180,baja_damian,consenso_destinos_oficiales,OFICIAL_6180,180,49985
6121,baja_damian,consenso_destinos_oficiales,OFICIAL_6121,194,63894
5111,baja_damian,consenso_destinos_oficiales,OFICIAL_5111,52,10227
4120,baja_damian,consenso_destinos_oficiales,OFICIAL_4120,641,153837
4109,baja_damian,consenso_destinos_oficiales,OFICIAL_4109,133,29460
5380,baja_damian,consenso_destinos_oficiales,OFICIAL_5380,126,48291
