escenario,registros,pendientes,cobertura,poblacion,cobertura_ponderada
egp_general,147034,23291,0.8632555408777337,42620142,0.8739571938340988
egp_propio,170080,245,0.9985615734624982,48701478,0.9986594377947661
egp_consenso,157852,12473,0.9267694114193453,45610128,0.9352690443240207
egp_hibrido,170093,232,0.9986378981359166,48704153,0.9987142906268731
