puente,anio,trim,codigo_9999,codigo_faltante,cuidado_positivo,ingreso_cuidado_determinado,ingreso_cuidado_no_determinado
CMO_SINCO2011,2012,2,19,0,24611,24570,41
SINCO2019_SINCO2011,2021,3,109,0,25295,24951,344
