strategy,record_coverage_4d,population_coverage_4d,record_coverage_3d,population_coverage_3d,record_coverage_2d,population_coverage_2d,record_coverage_1d,population_coverage_1d,cmo,records,population,records_4d,population_4d,records_3d,population_3d,records_2d,population_2d,records_1d,population_1d,cmo_label,official_destinations_4d,official_n_destinations_4d,official_maximum_level,review_rules,review_rule_types,review_scopes,application_variables,panel_pair_n_max,panel_forward_share_max,panel_reverse_share_max
oficial_panel_enoe,1,1,1,1,1,1,1,1,5401,414,138734,414,138734,414,138734,414,138734,414,138734,"Cargadores, abastecedores, empacadores manuales y similares en la fabricación de alimentos, bebidas y productos de tabaco",9236,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial,1,1,1,1,1,1,1,1,5242,532,136800,532,136800,532,136800,532,136800,532,136800,"Hojalateros, chaperos y pintores de metales",7213,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel,1,1,1,1,1,1,1,1,5242,532,136800,532,136800,532,136800,532,136800,532,136800,"Hojalateros, chaperos y pintores de metales",7213,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,1,1,1,1,1,1,1,1,5242,532,136800,532,136800,532,136800,532,136800,532,136800,"Hojalateros, chaperos y pintores de metales",7213,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial,0,0,1,1,1,1,1,1,2124,501,136364,0,0,501,136364,501,136364,501,136364,"Directores, gerentes y administradores de área o establecimientos en actividades de producción en industrias manufactureras, en la construcción y los servicios de reparación y mantenimiento",1312|1313|1314|1315,4,3d,NA,NA,NA,NA,NA,NA,NA
oficial_panel,0,0,1,1,1,1,1,1,2124,501,136364,0,0,501,136364,501,136364,501,136364,"Directores, gerentes y administradores de área o establecimientos en actividades de producción en industrias manufactureras, en la construcción y los servicios de reparación y mantenimiento",1312|1313|1314|1315,4,3d,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,0,0,1,1,1,1,1,1,2124,501,136364,0,0,501,136364,501,136364,501,136364,"Directores, gerentes y administradores de área o establecimientos en actividades de producción en industrias manufactureras, en la construcción y los servicios de reparación y mantenimiento",1312|1313|1314|1315,4,3d,NA,NA,NA,NA,NA,NA,NA
oficial,1,1,1,1,1,1,1,1,1412,467,134679,467,134679,467,134679,467,134679,467,134679,Músicos,2172,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel,1,1,1,1,1,1,1,1,1412,467,134679,467,134679,467,134679,467,134679,467,134679,Músicos,2172,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,1,1,1,1,1,1,1,1,1412,467,134679,467,134679,467,134679,467,134679,467,134679,Músicos,2172,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial,1,1,1,1,1,1,1,1,5420,449,128166,449,128166,449,128166,449,128166,449,128166,"Ayudantes, peones y similares en la fabricación de textiles y productos de cuero, piel y similares",9235,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel,1,1,1,1,1,1,1,1,5420,449,128166,449,128166,449,128166,449,128166,449,128166,"Ayudantes, peones y similares en la fabricación de textiles y productos de cuero, piel y similares",9235,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,1,1,1,1,1,1,1,1,5420,449,128166,449,128166,449,128166,449,128166,449,128166,"Ayudantes, peones y similares en la fabricación de textiles y productos de cuero, piel y similares",9235,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial,1,1,1,1,1,1,1,1,5430,495,127706,495,127706,495,127706,495,127706,495,127706,"Ayudantes, peones y similares en la fabricación de productos de madera y papel y trabajos de impresión",9234,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel,1,1,1,1,1,1,1,1,5430,495,127706,495,127706,495,127706,495,127706,495,127706,"Ayudantes, peones y similares en la fabricación de productos de madera y papel y trabajos de impresión",9234,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,1,1,1,1,1,1,1,1,5430,495,127706,495,127706,495,127706,495,127706,495,127706,"Ayudantes, peones y similares en la fabricación de productos de madera y papel y trabajos de impresión",9234,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial,1,1,1,1,1,1,1,1,1131,537,118931,537,118931,537,118931,537,118931,537,118931,Profesionistas en enfermería,2426,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel,1,1,1,1,1,1,1,1,1131,537,118931,537,118931,537,118931,537,118931,537,118931,Profesionistas en enfermería,2426,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,1,1,1,1,1,1,1,1,1131,537,118931,537,118931,537,118931,537,118931,537,118931,Profesionistas en enfermería,2426,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial,1,1,1,1,1,1,1,1,5502,415,118062,415,118062,415,118062,415,118062,415,118062,"Conductores de maquinaria móvil para el movimiento de mercancías en fábricas, puertos, comercios, etcétera",8352,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel,1,1,1,1,1,1,1,1,5502,415,118062,415,118062,415,118062,415,118062,415,118062,"Conductores de maquinaria móvil para el movimiento de mercancías en fábricas, puertos, comercios, etcétera",8352,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,1,1,1,1,1,1,1,1,5502,415,118062,415,118062,415,118062,415,118062,415,118062,"Conductores de maquinaria móvil para el movimiento de mercancías en fábricas, puertos, comercios, etcétera",8352,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial,0,0,0,0,0,0,0,0,1250,495,115766,0,0,0,0,0,0,0,0,Técnicos en ciencias sociales,2531|2532|2711,3,1d,CMO2012_SINCO2011_SCIAN_1250_16,scian_sector,aplicacion_auxiliar_ENOE,cmo_4d|scian,13,0.5937290033594624,0.9335431969220008
oficial_panel,0,0,0,0,0,0,0,0,1250,495,115766,0,0,0,0,0,0,0,0,Técnicos en ciencias sociales,2531|2532|2711,3,1d,CMO2012_SINCO2011_SCIAN_1250_16,scian_sector,aplicacion_auxiliar_ENOE,cmo_4d|scian,13,0.5937290033594624,0.9335431969220008
oficial_panel_enoe,0.1494949494949495,0.15257502202719278,0.1494949494949495,0.15257502202719278,0.1494949494949495,0.15257502202719278,1,1,1250,495,115766,74,17663,74,17663,74,17663,495,115766,Técnicos en ciencias sociales,2531|2532|2711,3,1d,CMO2012_SINCO2011_SCIAN_1250_16,scian_sector,aplicacion_auxiliar_ENOE,cmo_4d|scian,13,0.5937290033594624,0.9335431969220008
oficial,0,0,1,1,1,1,1,1,2127,467,114766,0,0,467,114766,467,114766,467,114766,"Directores, gerentes y administradores de área o establecimientos en servicios culturales, de esparcimiento, recreativos, restaurante, hospedaje y otros servicios personales",1412|1423,2,2d,NA,NA,NA,NA,NA,NA,NA
oficial_panel,0,0,1,1,1,1,1,1,2127,467,114766,0,0,467,114766,467,114766,467,114766,"Directores, gerentes y administradores de área o establecimientos en servicios culturales, de esparcimiento, recreativos, restaurante, hospedaje y otros servicios personales",1412|1423,2,2d,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,0,0,1,1,1,1,1,1,2127,467,114766,0,0,467,114766,467,114766,467,114766,"Directores, gerentes y administradores de área o establecimientos en servicios culturales, de esparcimiento, recreativos, restaurante, hospedaje y otros servicios personales",1412|1423,2,2d,NA,NA,NA,NA,NA,NA,NA
oficial,1,1,1,1,1,1,1,1,5221,416,112264,416,112264,416,112264,416,112264,416,112264,Tejedores de fibras,7332,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel,1,1,1,1,1,1,1,1,5221,416,112264,416,112264,416,112264,416,112264,416,112264,Tejedores de fibras,7332,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,1,1,1,1,1,1,1,1,5221,416,112264,416,112264,416,112264,416,112264,416,112264,Tejedores de fibras,7332,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial,1,1,1,1,1,1,1,1,5204,386,108837,386,108837,386,108837,386,108837,386,108837,"Trabajadores en la elaboración de productos a base de azúcar, chocolate y confitería",7515,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel,1,1,1,1,1,1,1,1,5204,386,108837,386,108837,386,108837,386,108837,386,108837,"Trabajadores en la elaboración de productos a base de azúcar, chocolate y confitería",7515,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,1,1,1,1,1,1,1,1,5204,386,108837,386,108837,386,108837,386,108837,386,108837,"Trabajadores en la elaboración de productos a base de azúcar, chocolate y confitería",7515,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial,1,1,1,1,1,1,1,1,4113,323,104595,323,104595,323,104595,323,104595,323,104595,Trabajadores en la cría de caprinos y ovinos,6124,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel,1,1,1,1,1,1,1,1,4113,323,104595,323,104595,323,104595,323,104595,323,104595,Trabajadores en la cría de caprinos y ovinos,6124,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,1,1,1,1,1,1,1,1,4113,323,104595,323,104595,323,104595,323,104595,323,104595,Trabajadores en la cría de caprinos y ovinos,6124,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial,1,1,1,1,1,1,1,1,4101,310,104289,310,104289,310,104289,310,104289,310,104289,Trabajadores en el cultivo de cereales,6116,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel,1,1,1,1,1,1,1,1,4101,310,104289,310,104289,310,104289,310,104289,310,104289,Trabajadores en el cultivo de cereales,6116,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,1,1,1,1,1,1,1,1,4101,310,104289,310,104289,310,104289,310,104289,310,104289,Trabajadores en el cultivo de cereales,6116,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial,0,0,1,1,1,1,1,1,2125,432,101542,0,0,432,101542,432,101542,432,101542,Directores gerentes y administradores de área o establecimientos de enseñanza e investigación,1223|1324,2,1d,NA,NA,NA,NA,NA,NA,NA
oficial_panel,0,0,1,1,1,1,1,1,2125,432,101542,0,0,432,101542,432,101542,432,101542,Directores gerentes y administradores de área o establecimientos de enseñanza e investigación,1223|1324,2,1d,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,0,0,1,1,1,1,1,1,2125,432,101542,0,0,432,101542,432,101542,432,101542,Directores gerentes y administradores de área o establecimientos de enseñanza e investigación,1223|1324,2,1d,NA,NA,NA,NA,NA,NA,NA
oficial,1,1,1,1,1,1,1,1,6251,360,99221,360,99221,360,99221,360,99221,360,99221,Trabajadores en servicios de mensajería en general,9722,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel,1,1,1,1,1,1,1,1,6251,360,99221,360,99221,360,99221,360,99221,360,99221,Trabajadores en servicios de mensajería en general,9722,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,1,1,1,1,1,1,1,1,6251,360,99221,360,99221,360,99221,360,99221,360,99221,Trabajadores en servicios de mensajería en general,9722,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial,0,0,0,0,0,0,0,0,8150,340,98871,0,0,0,0,0,0,0,0,"Trabajadores de apoyo para la realización de espectáculos, turismo y deporte",3222|4233|5251|5254|9713,5,unresolved,NA,NA,NA,NA,NA,NA,NA
oficial_panel,0,0,0,0,0,0,0,0,8150,340,98871,0,0,0,0,0,0,0,0,"Trabajadores de apoyo para la realización de espectáculos, turismo y deporte",3222|4233|5251|5254|9713,5,unresolved,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,0,0,0,0,0,0,1,1,8150,340,98871,0,0,0,0,0,0,340,98871,"Trabajadores de apoyo para la realización de espectáculos, turismo y deporte",3222|4233|5251|5254|9713,5,unresolved,NA,NA,NA,NA,NA,NA,NA
oficial,0,0,0,0,0,0,0,0,6110,353,97836,0,0,0,0,0,0,0,0,"Jefes de departamento, coordinadores y supervisores en contabilidad y finanzas",1512|3101,2,unresolved,NA,NA,NA,NA,NA,NA,NA
oficial_panel,0,0,0,0,0,0,0,0,6110,353,97836,0,0,0,0,0,0,0,0,"Jefes de departamento, coordinadores y supervisores en contabilidad y finanzas",1512|3101,2,unresolved,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,0,0,0,0,0,0,1,1,6110,353,97836,0,0,0,0,0,0,353,97836,"Jefes de departamento, coordinadores y supervisores en contabilidad y finanzas",1512|3101,2,unresolved,NA,NA,NA,NA,NA,NA,NA
oficial,1,1,1,1,1,1,1,1,1132,360,95541,360,95541,360,95541,360,95541,360,95541,Odontólogos,2413,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel,1,1,1,1,1,1,1,1,1132,360,95541,360,95541,360,95541,360,95541,360,95541,Odontólogos,2413,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,1,1,1,1,1,1,1,1,1132,360,95541,360,95541,360,95541,360,95541,360,95541,Odontólogos,2413,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial,1,1,1,1,1,1,1,1,5280,292,94185,292,94185,292,94185,292,94185,292,94185,"Trabajadores en la elaboración y reparación de productos de hule, caucho, plástico y vulcanización de neumáticos",7411,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel,1,1,1,1,1,1,1,1,5280,292,94185,292,94185,292,94185,292,94185,292,94185,"Trabajadores en la elaboración y reparación de productos de hule, caucho, plástico y vulcanización de neumáticos",7411,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,1,1,1,1,1,1,1,1,5280,292,94185,292,94185,292,94185,292,94185,292,94185,"Trabajadores en la elaboración y reparación de productos de hule, caucho, plástico y vulcanización de neumáticos",7411,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial,0,0,0,0,0,0,0,0,6101,440,93003,0,0,0,0,0,0,0,0,"Jefes de departamento, coordinadores y supervisores en servicios de educación",1523|2311,2,unresolved,NA,NA,NA,NA,NA,NA,NA
oficial_panel,0,0,0,0,0,0,0,0,6101,440,93003,0,0,0,0,0,0,0,0,"Jefes de departamento, coordinadores y supervisores en servicios de educación",1523|2311,2,unresolved,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,0,0,0,0,0,0,1,1,6101,440,93003,0,0,0,0,0,0,440,93003,"Jefes de departamento, coordinadores y supervisores en servicios de educación",1523|2311,2,unresolved,NA,NA,NA,NA,NA,NA,NA
oficial,0,0,1,1,1,1,1,1,8122,354,92272,0,0,354,92272,354,92272,354,92272,"Maleteros, equipajeros y empleados de paquetería y guardarropa",9711|9712,2,3d,CMO2012_SINCO2011_GLOBAL_8122,panel_global,validacion_panel_ENOE,cmo_4d,60,0.7452808418332025,0.6996963472358667
oficial_panel,1,1,1,1,1,1,1,1,8122,354,92272,354,92272,354,92272,354,92272,354,92272,"Maleteros, equipajeros y empleados de paquetería y guardarropa",9711|9712,2,3d,CMO2012_SINCO2011_GLOBAL_8122,panel_global,validacion_panel_ENOE,cmo_4d,60,0.7452808418332025,0.6996963472358667
oficial_panel_enoe,1,1,1,1,1,1,1,1,8122,354,92272,354,92272,354,92272,354,92272,354,92272,"Maleteros, equipajeros y empleados de paquetería y guardarropa",9711|9712,2,3d,CMO2012_SINCO2011_GLOBAL_8122,panel_global,validacion_panel_ENOE,cmo_4d,60,0.7452808418332025,0.6996963472358667
oficial,1,1,1,1,1,1,1,1,5323,528,90289,528,90289,528,90289,528,90289,528,90289,"Operadores de máquinas en la fabricación de calzado y productos de cuero, piel y similares (excepto prendas de vestir)",8154,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel,1,1,1,1,1,1,1,1,5323,528,90289,528,90289,528,90289,528,90289,528,90289,"Operadores de máquinas en la fabricación de calzado y productos de cuero, piel y similares (excepto prendas de vestir)",8154,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,1,1,1,1,1,1,1,1,5323,528,90289,528,90289,528,90289,528,90289,528,90289,"Operadores de máquinas en la fabricación de calzado y productos de cuero, piel y similares (excepto prendas de vestir)",8154,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial,0,0,1,1,1,1,1,1,1104,318,89773,0,0,318,89773,318,89773,318,89773,"Ingenieros químicos, industriales y mecánicos",2251|2252|2253,3,3d,NA,NA,NA,NA,NA,NA,NA
oficial_panel,0,0,1,1,1,1,1,1,1104,318,89773,0,0,318,89773,318,89773,318,89773,"Ingenieros químicos, industriales y mecánicos",2251|2252|2253,3,3d,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,0,0,1,1,1,1,1,1,1104,318,89773,0,0,318,89773,318,89773,318,89773,"Ingenieros químicos, industriales y mecánicos",2251|2252|2253,3,3d,NA,NA,NA,NA,NA,NA,NA
oficial,0,0,0,0,0,0,0,0,7131,357,89269,0,0,0,0,0,0,0,0,"Agentes de bienes raíces y trabajadores en el servicio de arrendamiento de bienes inmuebles (casas, edificios, oficinas, etcétera)",4223|4311,2,1d,CMO2012_SINCO2011_GLOBAL_7131,panel_global,validacion_panel_ENOE,cmo_4d,39,0.6279769904843826,0.6824614679424741
oficial_panel,1,1,1,1,1,1,1,1,7131,357,89269,357,89269,357,89269,357,89269,357,89269,"Agentes de bienes raíces y trabajadores en el servicio de arrendamiento de bienes inmuebles (casas, edificios, oficinas, etcétera)",4223|4311,2,1d,CMO2012_SINCO2011_GLOBAL_7131,panel_global,validacion_panel_ENOE,cmo_4d,39,0.6279769904843826,0.6824614679424741
oficial_panel_enoe,1,1,1,1,1,1,1,1,7131,357,89269,357,89269,357,89269,357,89269,357,89269,"Agentes de bienes raíces y trabajadores en el servicio de arrendamiento de bienes inmuebles (casas, edificios, oficinas, etcétera)",4223|4311,2,1d,CMO2012_SINCO2011_GLOBAL_7131,panel_global,validacion_panel_ENOE,cmo_4d,39,0.6279769904843826,0.6824614679424741
oficial,1,1,1,1,1,1,1,1,1100,388,88761,388,88761,388,88761,388,88761,388,88761,Arquitectos y urbanistas,2263,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel,1,1,1,1,1,1,1,1,1100,388,88761,388,88761,388,88761,388,88761,388,88761,Arquitectos y urbanistas,2263,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,1,1,1,1,1,1,1,1,1100,388,88761,388,88761,388,88761,388,88761,388,88761,Arquitectos y urbanistas,2263,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial,1,1,1,1,1,1,1,1,5251,298,88080,298,88080,298,88080,298,88080,298,88080,"Trabajadores en la fabricación de productos de cemento, cal, yeso, azulejo, piedra y ladrilleros",7612,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel,1,1,1,1,1,1,1,1,5251,298,88080,298,88080,298,88080,298,88080,298,88080,"Trabajadores en la fabricación de productos de cemento, cal, yeso, azulejo, piedra y ladrilleros",7612,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,1,1,1,1,1,1,1,1,5251,298,88080,298,88080,298,88080,298,88080,298,88080,"Trabajadores en la fabricación de productos de cemento, cal, yeso, azulejo, piedra y ladrilleros",7612,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial,0,0,1,1,1,1,1,1,1206,351,87130,0,0,351,87130,351,87130,351,87130,"Técnicos en la operación de equipos de televisión, filmación, proyección y grabación de imagen y sonido y fotógrafos",2653|2654|2655,3,3d,CMO2012_SINCO2011_GLOBAL_1206,panel_global,validacion_panel_ENOE,cmo_4d,41,0.5429058628817894,0.944966790304494
oficial_panel,1,1,1,1,1,1,1,1,1206,351,87130,351,87130,351,87130,351,87130,351,87130,"Técnicos en la operación de equipos de televisión, filmación, proyección y grabación de imagen y sonido y fotógrafos",2653|2654|2655,3,3d,CMO2012_SINCO2011_GLOBAL_1206,panel_global,validacion_panel_ENOE,cmo_4d,41,0.5429058628817894,0.944966790304494
oficial_panel_enoe,1,1,1,1,1,1,1,1,1206,351,87130,351,87130,351,87130,351,87130,351,87130,"Técnicos en la operación de equipos de televisión, filmación, proyección y grabación de imagen y sonido y fotógrafos",2653|2654|2655,3,3d,CMO2012_SINCO2011_GLOBAL_1206,panel_global,validacion_panel_ENOE,cmo_4d,41,0.5429058628817894,0.944966790304494
oficial,1,1,1,1,1,1,1,1,5160,271,85955,271,85955,271,85955,271,85955,271,85955,"Jefes, coordinadores, contratistas y similares en la construcción, instalación, mantenimiento y acabados",1615,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel,1,1,1,1,1,1,1,1,5160,271,85955,271,85955,271,85955,271,85955,271,85955,"Jefes, coordinadores, contratistas y similares en la construcción, instalación, mantenimiento y acabados",1615,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,1,1,1,1,1,1,1,1,5160,271,85955,271,85955,271,85955,271,85955,271,85955,"Jefes, coordinadores, contratistas y similares en la construcción, instalación, mantenimiento y acabados",1615,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial,1,1,1,1,1,1,1,1,5227,374,84221,374,84221,374,84221,374,84221,374,84221,Zapateros y trabajadores similares,7353,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel,1,1,1,1,1,1,1,1,5227,374,84221,374,84221,374,84221,374,84221,374,84221,Zapateros y trabajadores similares,7353,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,1,1,1,1,1,1,1,1,5227,374,84221,374,84221,374,84221,374,84221,374,84221,Zapateros y trabajadores similares,7353,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial,1,1,1,1,1,1,1,1,5231,201,84169,201,84169,201,84169,201,84169,201,84169,"Artesanos y trabajadores fabriles en la elaboración de productos de bejuco, vara, palma, carrizo y mimbre, excepto madera",7313,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel,1,1,1,1,1,1,1,1,5231,201,84169,201,84169,201,84169,201,84169,201,84169,"Artesanos y trabajadores fabriles en la elaboración de productos de bejuco, vara, palma, carrizo y mimbre, excepto madera",7313,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,1,1,1,1,1,1,1,1,5231,201,84169,201,84169,201,84169,201,84169,201,84169,"Artesanos y trabajadores fabriles en la elaboración de productos de bejuco, vara, palma, carrizo y mimbre, excepto madera",7313,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial,1,1,1,1,1,1,1,1,1363,334,83416,334,83416,334,83416,334,83416,334,83416,"Profesores, instructores y capacitadores en educación técnica y capacitación aplicables en la producción y servicios",2715,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel,1,1,1,1,1,1,1,1,1363,334,83416,334,83416,334,83416,334,83416,334,83416,"Profesores, instructores y capacitadores en educación técnica y capacitación aplicables en la producción y servicios",2715,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,1,1,1,1,1,1,1,1,1363,334,83416,334,83416,334,83416,334,83416,334,83416,"Profesores, instructores y capacitadores en educación técnica y capacitación aplicables en la producción y servicios",2715,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial,1,1,1,1,1,1,1,1,4107,145,82306,145,82306,145,82306,145,82306,145,82306,Trabajadores en el cultivo de flores,6115,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel,1,1,1,1,1,1,1,1,4107,145,82306,145,82306,145,82306,145,82306,145,82306,Trabajadores en el cultivo de flores,6115,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,1,1,1,1,1,1,1,1,4107,145,82306,145,82306,145,82306,145,82306,145,82306,Trabajadores en el cultivo de flores,6115,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial,1,1,1,1,1,1,1,1,5501,312,80971,312,80971,312,80971,312,80971,312,80971,Conductores de maquinaria móvil para la construcción,8351,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel,1,1,1,1,1,1,1,1,5501,312,80971,312,80971,312,80971,312,80971,312,80971,Conductores de maquinaria móvil para la construcción,8351,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,1,1,1,1,1,1,1,1,5501,312,80971,312,80971,312,80971,312,80971,312,80971,Conductores de maquinaria móvil para la construcción,8351,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial,1,1,1,1,1,1,1,1,5271,282,79252,282,79252,282,79252,282,79252,282,79252,"Instaladores y reparadores de aparatos electrónicos, electrodomésticos y equipos de telecomunicaciones",2644,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel,1,1,1,1,1,1,1,1,5271,282,79252,282,79252,282,79252,282,79252,282,79252,"Instaladores y reparadores de aparatos electrónicos, electrodomésticos y equipos de telecomunicaciones",2644,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,1,1,1,1,1,1,1,1,5271,282,79252,282,79252,282,79252,282,79252,282,79252,"Instaladores y reparadores de aparatos electrónicos, electrodomésticos y equipos de telecomunicaciones",2644,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial,1,1,1,1,1,1,1,1,5481,213,78940,213,78940,213,78940,213,78940,213,78940,"Cargadores, abastecedores, empacadores manuales y similares en la fabricación de químicos, petroquímica, hule, caucho y plástico",9233,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel,1,1,1,1,1,1,1,1,5481,213,78940,213,78940,213,78940,213,78940,213,78940,"Cargadores, abastecedores, empacadores manuales y similares en la fabricación de químicos, petroquímica, hule, caucho y plástico",9233,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,1,1,1,1,1,1,1,1,5481,213,78940,213,78940,213,78940,213,78940,213,78940,"Cargadores, abastecedores, empacadores manuales y similares en la fabricación de químicos, petroquímica, hule, caucho y plástico",9233,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial,1,1,1,1,1,1,1,1,2111,235,78860,235,78860,235,78860,235,78860,235,78860,"Presidentes, directores y gerentes generales en instituciones, negocios y empresas privadas",1122,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel,1,1,1,1,1,1,1,1,2111,235,78860,235,78860,235,78860,235,78860,235,78860,"Presidentes, directores y gerentes generales en instituciones, negocios y empresas privadas",1122,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,1,1,1,1,1,1,1,1,2111,235,78860,235,78860,235,78860,235,78860,235,78860,"Presidentes, directores y gerentes generales en instituciones, negocios y empresas privadas",1122,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial,1,1,1,1,1,1,1,1,8110,350,76663,350,76663,350,76663,350,76663,350,76663,Lavanderos,9641,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel,1,1,1,1,1,1,1,1,8110,350,76663,350,76663,350,76663,350,76663,350,76663,Lavanderos,9641,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,1,1,1,1,1,1,1,1,8110,350,76663,350,76663,350,76663,350,76663,350,76663,Lavanderos,9641,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial,1,1,1,1,1,1,1,1,5290,278,73232,278,73232,278,73232,278,73232,278,73232,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,7999,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel,1,1,1,1,1,1,1,1,5290,278,73232,278,73232,278,73232,278,73232,278,73232,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,7999,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,1,1,1,1,1,1,1,1,5290,278,73232,278,73232,278,73232,278,73232,278,73232,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,7999,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial,0,0,1,1,1,1,1,1,8123,292,69911,0,0,292,69911,292,69911,292,69911,"Mozos de hotel, botones y similares",9622|9623,2,3d,CMO2012_SINCO2011_GLOBAL_8123,panel_global,validacion_panel_ENOE,cmo_4d,69,0.8411827113796762,0.8996641074856047
