strategy,record_coverage_4d,population_coverage_4d,record_coverage_3d,population_coverage_3d,record_coverage_2d,population_coverage_2d,record_coverage_1d,population_coverage_1d,cmo,records,population,records_4d,population_4d,records_3d,population_3d,records_2d,population_2d,records_1d,population_1d,cmo_label,official_destinations_4d,official_n_destinations_4d,official_maximum_level,review_rules,review_rule_types,review_scopes,application_variables,panel_pair_n_max,panel_forward_share_max,panel_reverse_share_max
oficial_panel,1,1,1,1,1,1,1,1,8124,4589,1209335,4589,1209335,4589,1209335,4589,1209335,4589,1209335,"Trabajadores de aseo en oficinas, escuelas, hospitales y otros establecimientos",9621|9631|9662,3,2d,CMO2012_SINCO2011_GLOBAL_8124,panel_global,validacion_panel_ENOE,cmo_4d,688,0.5995489914948705,0.773184342778113
oficial_panel_enoe,1,1,1,1,1,1,1,1,8124,4589,1209335,4589,1209335,4589,1209335,4589,1209335,4589,1209335,"Trabajadores de aseo en oficinas, escuelas, hospitales y otros establecimientos",9621|9631|9662,3,2d,CMO2012_SINCO2011_GLOBAL_8124,panel_global,validacion_panel_ENOE,cmo_4d,688,0.5995489914948705,0.773184342778113
oficial,1,1,1,1,1,1,1,1,5520,3902,1099270,3902,1099270,3902,1099270,3902,1099270,3902,1099270,"Conductores de autobuses, camiones, camionetas y automóviles de pasajeros",8342,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel,1,1,1,1,1,1,1,1,5520,3902,1099270,3902,1099270,3902,1099270,3902,1099270,3902,1099270,"Conductores de autobuses, camiones, camionetas y automóviles de pasajeros",8342,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,1,1,1,1,1,1,1,1,5520,3902,1099270,3902,1099270,3902,1099270,3902,1099270,3902,1099270,"Conductores de autobuses, camiones, camionetas y automóviles de pasajeros",8342,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial,1,1,1,1,1,1,1,1,5260,4104,1096883,4104,1096883,4104,1096883,4104,1096883,4104,1096883,Albañiles,7121,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel,1,1,1,1,1,1,1,1,5260,4104,1096883,4104,1096883,4104,1096883,4104,1096883,4104,1096883,Albañiles,7121,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,1,1,1,1,1,1,1,1,5260,4104,1096883,4104,1096883,4104,1096883,4104,1096883,4104,1096883,Albañiles,7121,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial,0,0,1,1,1,1,1,1,8100,3507,985557,0,0,3507,985557,3507,985557,3507,985557,Fonderos (preparan y sirven alimentos) en establecimientos,5112|5114,2,3d,NA,NA,NA,NA,NA,NA,NA
oficial_panel,0,0,1,1,1,1,1,1,8100,3507,985557,0,0,3507,985557,3507,985557,3507,985557,Fonderos (preparan y sirven alimentos) en establecimientos,5112|5114,2,3d,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,0,0,1,1,1,1,1,1,8100,3507,985557,0,0,3507,985557,3507,985557,3507,985557,Fonderos (preparan y sirven alimentos) en establecimientos,5112|5114,2,3d,NA,NA,NA,NA,NA,NA,NA
oficial,0,0,0,0,0,0,0,0,6270,3914,900434,0,0,0,0,0,0,0,0,Otros trabajadores en servicios administrativos no clasificados anteriormente,3115|9731|9732,3,unresolved,CMO2012_SINCO2011_SCIAN_6270_15,scian_sector,aplicacion_auxiliar_ENOE,cmo_4d|scian,42,0.5778953834522516,0.5914194816131749
oficial_panel,0,0,0,0,0,0,0,0,6270,3914,900434,0,0,0,0,0,0,0,0,Otros trabajadores en servicios administrativos no clasificados anteriormente,3115|9731|9732,3,unresolved,CMO2012_SINCO2011_SCIAN_6270_15,scian_sector,aplicacion_auxiliar_ENOE,cmo_4d|scian,42,0.5778953834522516,0.5914194816131749
