"escenario","anio","trim","salida","clasificacion","nivel_requerido","capas_decision","decision_phase","decision_ceiling","riesgo","recomendacion","aplicable","registros_total","registros_clasificados","registros_pendientes","poblacion_total","poblacion_clasificada","cobertura_registros","cobertura_ponderada","nota_medida"
"CMO_2012T2",2012,2,"class_ocu","Ocupacion del modulo de cuidado","puente_propio","puente_cuidado","integrated","todas_las_decisiones_aceptadas","medio","Usar solo para el constructo de cuidado",TRUE,170325,170087,238,48766853,48698565,0.99860267136357,0.998599704598531,"cobertura_de_salida_no_exactitud"
"CMO_2012T2",2012,2,"isco_care","ISCO del modulo de cuidado","puente_propio","puente_cuidado","integrated","todas_las_decisiones_aceptadas","medio","No sustituye ISCO88 Damian",TRUE,170325,170087,238,48766853,48698565,0.99860267136357,0.998599704598531,"cobertura_de_salida_no_exactitud"
"CMO_2012T2",2012,2,"care_industry","Industria de cuidado","SCIAN_p4a","reglas_cuidado","integrated","todas_las_decisiones_aceptadas","medio","Conservar actividad y procedencia",TRUE,170325,170300,25,48766853,48754002,0.999853221781888,0.999736480842838,"cobertura_de_salida_no_exactitud"
"CMO_2012T2",2012,2,"care_w","Clasificacion de cuidado","ocupacion+actividad","reglas_cuidado","integrated","todas_las_decisiones_aceptadas","medio","Usar con variables auxiliares observadas",TRUE,170325,170067,258,48766853,48688367,0.99848524878908,0.998390587147381,"cobertura_de_salida_no_exactitud"
"CMO_2012T2",2012,2,"trabajo_cuidado_mercado","Trabajo de cuidado de mercado","ocupacion+actividad","reglas_cuidado","integrated","todas_las_decisiones_aceptadas","medio","Usar con variables auxiliares observadas",TRUE,170325,170067,258,48766853,48688367,0.99848524878908,0.998390587147381,"cobertura_de_salida_no_exactitud"
"CMO_2012T2",2012,2,"susceptible_teletrabajo","Susceptibilidad de teletrabajo","4d_observado","lista_teletrabajo","integrated","todas_las_decisiones_aceptadas","no_aplicable","Solo desde 2012-T3; validar codigos especiales",FALSE,170325,0,170325,48766853,0,,,"cobertura_de_salida_no_exactitud"
"SINCO2019_2021T3",2021,3,"sinco4d","SINCO 2011 a 4 digitos","4d","oficial+panel+enoe","integrated","todas_las_decisiones_aceptadas","bajo_medio","Filtrar por estado y regla; sensibilidad en CMO",TRUE,188379,186253,2126,56422329,55804453,0.988714240971658,0.989049087285993,"cobertura_de_salida_no_exactitud"
"SINCO2019_2021T3",2021,3,"sinco3d","SINCO 2011 a 3 digitos","3d","oficial+panel+enoe","integrated","todas_las_decisiones_aceptadas","bajo_medio","Adecuado para analisis agregados",TRUE,188379,186253,2126,56422329,55804453,0.988714240971658,0.989049087285993,"cobertura_de_salida_no_exactitud"
"SINCO2019_2021T3",2021,3,"sinco2d","SINCO 2011 a 2 digitos","2d","oficial+panel+enoe","integrated","todas_las_decisiones_aceptadas","bajo_medio","Adecuado para analisis agregados",TRUE,188379,186253,2126,56422329,55804453,0.988714240971658,0.989049087285993,"cobertura_de_salida_no_exactitud"
"SINCO2019_2021T3",2021,3,"sinco1d","SINCO 2011 a 1 digito","1d","oficial+panel+enoe_historico","integrated","todas_las_decisiones_aceptadas","bajo_medio","No interpretar como equivalencia exacta en CMO",TRUE,188379,186253,2126,56422329,55804453,0.988714240971658,0.989049087285993,"cobertura_de_salida_no_exactitud"
"SINCO2019_2021T3",2021,3,"skill_level","Nivel de calificacion ocupacional","1d","puente_sinco","integrated","todas_las_decisiones_aceptadas","bajo_medio","Reportar calidad del SINCO de origen",TRUE,188379,186253,2126,56422329,55804453,0.988714240971658,0.989049087285993,"cobertura_de_salida_no_exactitud"
"SINCO2019_2021T3",2021,3,"mismatch","Desajuste educativo normativo","1d+educacion","puente_sinco","integrated","todas_las_decisiones_aceptadas","medio","Reportar faltantes educativos y calidad ocupacional",TRUE,188379,186028,2351,56422329,55744658,0.987519840321904,0.987989311820148,"cobertura_de_salida_no_exactitud"
"SINCO2019_2021T3",2021,3,"mismatch2","Desajuste educativo estadistico","1d+educacion+referencia","puente_sinco","integrated","todas_las_decisiones_aceptadas","medio","Documentar periodo y ponderacion de referencia",TRUE,188379,185895,2484,56422329,55710586,0.986813816826716,0.987385437421415,"cobertura_de_salida_no_exactitud"
"SINCO2019_2021T3",2021,3,"grupo_ocu9_damian","Gran grupo ocupacional Damian","1d","puente_general","integrated","todas_las_decisiones_aceptadas","bajo_medio","Salida amplia recomendada para toda la serie",TRUE,188379,186253,2126,56422329,55804453,0.988714240971658,0.989049087285993,"cobertura_de_salida_no_exactitud"
"SINCO2019_2021T3",2021,3,"isco88_damian","Correspondencia ISCO-88","4d","heredado+consenso_panel","integrated","todas_las_decisiones_aceptadas","medio","No presentar como correspondencia oficial",TRUE,188379,186190,2189,56422329,55785031,0.988379808789727,0.988704861864174,"cobertura_de_salida_no_exactitud"
"SINCO2019_2021T3",2021,3,"clase_ocu_damian","Clase ocupacional Damian","1d_o_ISCO88","puente_general","integrated","todas_las_decisiones_aceptadas","bajo_medio","La recuperacion por gran grupo es una clase amplia",TRUE,188379,186253,2126,56422329,55804453,0.988714240971658,0.989049087285993,"cobertura_de_salida_no_exactitud"
"SINCO2019_2021T3",2021,3,"calificada_damian","Trabajo calificado","clase_ocupacional","puente_general","integrated","todas_las_decisiones_aceptadas","bajo_medio","Usar como clasificacion amplia",TRUE,188379,186253,2126,56422329,55804453,0.988714240971658,0.989049087285993,"cobertura_de_salida_no_exactitud"
"SINCO2019_2021T3",2021,3,"manual_damian","Trabajo manual","clase_ocupacional","puente_general","integrated","todas_las_decisiones_aceptadas","bajo_medio","Usar como clasificacion amplia",TRUE,188379,186253,2126,56422329,55804453,0.988714240971658,0.989049087285993,"cobertura_de_salida_no_exactitud"
