cmo,aux,old_value,new_value,n,w1,w2,old_official,forward,unique_forward,reverse,unique_reverse,train_n,validation_n,train_forward,validation_forward,train_reverse,validation_reverse,train_unique_forward,validation_unique_forward,train_unique_reverse,validation_unique_reverse,feature,passes,rescata_original,motivo
5170,336,1,2,1,155,158,TRUE,1,TRUE,1,TRUE,1,NA,1,NA,1,NA,TRUE,NA,TRUE,NA,p4a3,FALSE,FALSE,muestra_insuficiente
5141,331,2,2,2,199,199,TRUE,0.06626706626706627,FALSE,1,TRUE,2,NA,0.08142389525368249,NA,1,NA,FALSE,NA,TRUE,NA,p4a3,FALSE,TRUE,muestra_insuficiente
4109,112,13,13,1,304,293,TRUE,0.7875647668393783,TRUE,1,TRUE,1,NA,1,NA,1,NA,TRUE,NA,TRUE,NA,p4a3,FALSE,TRUE,muestra_insuficiente
2121,524,2,2,1,150,156,TRUE,1,TRUE,1,TRUE,1,NA,1,NA,1,NA,TRUE,NA,TRUE,NA,p4a3,FALSE,TRUE,muestra_insuficiente
7201,437,3,3,1,106,110,TRUE,1,TRUE,1,TRUE,NA,1,NA,1,NA,1,NA,TRUE,NA,TRUE,p4a3,FALSE,TRUE,muestra_insuficiente
2121,468,2,9,1,86,89,TRUE,0.23243243243243245,FALSE,1,TRUE,1,NA,0.38222222222222224,NA,1,NA,FALSE,NA,TRUE,NA,p4a3,FALSE,FALSE,muestra_insuficiente
8150,531,4,11,1,100,104,TRUE,1,TRUE,1,TRUE,1,NA,1,NA,1,NA,TRUE,NA,TRUE,NA,p4a3,FALSE,FALSE,muestra_insuficiente
8150,713,4,7,1,86,89,TRUE,0.03572912339011217,FALSE,1,TRUE,1,NA,0.45989304812834225,NA,1,NA,TRUE,NA,TRUE,NA,p4a3,FALSE,FALSE,muestra_insuficiente
6180,812,1,7,1,96,99,TRUE,1,TRUE,0.08432708688245315,FALSE,1,NA,1,NA,0.08432708688245315,NA,TRUE,NA,FALSE,NA,p4a3,FALSE,FALSE,muestra_insuficiente
6110,561,1,1,1,115,159,TRUE,0.21217712177121772,FALSE,1,TRUE,1,NA,1,NA,1,NA,TRUE,NA,TRUE,NA,p4a3,FALSE,TRUE,muestra_insuficiente
5100,311,2,7,1,86,89,TRUE,0.030006978367062107,FALSE,0.10045146726862303,FALSE,NA,1,NA,0.04001861330851559,NA,1,NA,FALSE,NA,TRUE,p4a3,FALSE,FALSE,muestra_insuficiente
5100,312,2,2,1,51,52,TRUE,0.4766355140186916,FALSE,1,TRUE,1,NA,1,NA,1,NA,TRUE,NA,TRUE,NA,p4a3,FALSE,TRUE,muestra_insuficiente
5100,312,1,7,1,120,125,TRUE,0.5128205128205128,TRUE,1,TRUE,1,NA,0.5128205128205128,NA,1,NA,TRUE,NA,TRUE,NA,p4a3,FALSE,FALSE,muestra_insuficiente
1230,611,2,2,1,627,628,TRUE,0.4336099585062241,FALSE,1,TRUE,NA,1,NA,0.4336099585062241,NA,1,NA,FALSE,NA,TRUE,p4a3,FALSE,TRUE,muestra_insuficiente
1204,465,2,9,1,158,158,TRUE,1,TRUE,1,TRUE,1,NA,1,NA,1,NA,TRUE,NA,TRUE,NA,p4a3,FALSE,FALSE,muestra_insuficiente
7121,468,9,4,1,535,535,TRUE,0.6858974358974359,TRUE,1,TRUE,NA,1,NA,1,NA,1,NA,TRUE,NA,TRUE,p4a3,FALSE,FALSE,muestra_insuficiente
