campo_arm8,campo_arm8_desc,major_montt,isco08_3d_compatibles,estatus,fuente
1,"Educación",2,"231|232|233|234|235|342|531","Referencia internacional; requiere correspondencia ISCO-SINCO","Montt (2015), Anexo 2, https://doi.org/10.1787/5jrxm4dhv9r2-en"
2,"Artes y humanidades",3,"216|231|232|233|262|263|264|265|341|343","Referencia internacional; requiere correspondencia ISCO-SINCO","Montt (2015), Anexo 2, https://doi.org/10.1787/5jrxm4dhv9r2-en"
3,"Ciencias sociales, administración y derecho",4,"112|121|122|131|132|133|134|141|142|143|226|231|232|233|241|242|243|261|262|263|264|325|331|332|333|334|335|341|411|412|413|421|422|431|432|441|521|522|523|524|952","Referencia internacional; requiere correspondencia ISCO-SINCO","Montt (2015), Anexo 2, https://doi.org/10.1787/5jrxm4dhv9r2-en"
4,"Ciencias naturales, matemáticas, estadística y TIC",5,"211|212|213|226|231|232|233|251|252|311|313|314|321|331|351|352","Referencia internacional; requiere correspondencia ISCO-SINCO","Montt (2015), Anexo 2, https://doi.org/10.1787/5jrxm4dhv9r2-en"
5,"Ingeniería, manufactura y construcción",6,"214|215|216|231|232|251|252|311|312|313|315|335|351|352|515|711|712|713|721|722|723|731|732|741|742|751|752|753|754|811|812|813|814|815|816|817|818|821|831|832|833|834|835|931|932|933","Referencia internacional; requiere correspondencia ISCO-SINCO","Montt (2015), Anexo 2, https://doi.org/10.1787/5jrxm4dhv9r2-en"
6,"Agronomía y veterinaria",7,"213|225|231|232|314|321|324|325|611|612|613|621|622|631|632|633|634|751|754|834|921","Referencia internacional; requiere correspondencia ISCO-SINCO","Montt (2015), Anexo 2, https://doi.org/10.1787/5jrxm4dhv9r2-en"
7,"Salud",8,"213|221|222|223|224|226|227|231|234|263|314|321|322|323|324|325|341|516|531|532|541","Referencia internacional; requiere correspondencia ISCO-SINCO","Montt (2015), Anexo 2, https://doi.org/10.1787/5jrxm4dhv9r2-en"
8,"Servicios",9,"134|243|325|334|335|341|343|411|412|413|421|422|431|432|441|511|512|513|514|515|516|521|522|523|524|531|532|541|831|832|833|834|835|911|912|941|951|952","Referencia internacional; requiere correspondencia ISCO-SINCO","Montt (2015), Anexo 2, https://doi.org/10.1787/5jrxm4dhv9r2-en"
