sinco3d,sinco4d,cmo_4d,label_cmo,propuesta,sinco4dproxy,sinco3dproxy,sinco_4d1,sinco_4d2,sinco_4d3,sinco3d1,sinco3d2,sinco3d3
271,2715,1363," Profesores, instructores y capacitadores en educación técnica y capacitación aplicables en la producción y servicios",auto,,,,,,,,
271,2716,1364, Profesores e instructores en actividades deportivas,auto,,,,,,,,
215,2151,1400, Escritores y críticos,auto,,,,,,,,
217,2171,1410, Compositores y arreglistas,auto,,,,,,,,
217,2173,1411, Cantantes,auto,,,,,,,,
217,2172,1412, Músicos,auto,,,,,,,,
217,2175,1413, Actores,auto,,,,,,,,
217,2174,1414, Bailarines,auto,,,,,,,,
216,2163,1421, Escultores y grabadores,auto,,,,,,,,
216,2164,1422, Coreógrafos y escenógrafos,auto,,,,,,,,
142,1421,1430, Directores de producciones artísticas ,auto,,,,,,,,
142,1422,1431," Productores y organizadores de actividades artísticas, culturales y deportivas",auto,,,,,,,,
255,2551,1432," Locutores, conductores y comentaristas de radio y televisión",auto,,,,,,,,
256,2561,1440, Deportistas,auto,,,,,,,,
256,2563,1450, Árbitros y jueces deportivos,auto,,,,,,,,
256,2562,1451, Entrenadores deportivos,auto,,,,,,,,
255,2552,1460, Animadores y anunciadores,auto,,,,,,,,
255,2553,1461," Magos, payasos, malabaristas, cirqueros y similares en establecimientos",auto,,,,,,,,
111,1113,2101, Presidentes y autoridades municipales,auto,,,,,,,,
112,1121,2110," Presidentes, directores y gerentes generales en instituciones y empresas públicas, descentralizadas y paraestatales",auto,,,,,,,,
112,1122,2111,"Presidentes, directores y gerentes generales en instituciones, negocios y empresas privadas",auto,,,,,,,,
112,1129,2119,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,auto,,,,,,,,
122,1221,2120,"Directores, gerentes y administradores de área o establecimientos en servicios de salud",auto,,,,,,,,
141,1411,2122," Directores, gerentes y administradores de área o establecimientos en actividades comerciales (incluye la venta de seguros y bienes raíces) ",auto,,,,,,,,
