source_code,source_label,n_destinations_4d,destinations_4d,target_4d_unique,n_destinations_3d,destinations_3d,target_3d_unique,n_destinations_2d,destinations_2d,target_2d_unique,n_destinations_1d,destinations_1d,target_1d_unique,maximum_unambiguous_level,decision_status_4d
5171,"Supervisores, inspectores y similares en la generación de energía, la instalación, reparación y mantenimiento de equipo eléctrico y de telecomunicaciones",1,2640,2640,1,264,264,1,26,26,1,2,2,4d,official_unique
5179,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,1,1613,1613,1,161,161,1,16,16,1,1,1,4d,official_unique
5180,"Jefes, coordinadores y similares en la fabricación de químicos, petroquímica, hule, caucho y plástico",1,1614,1614,1,161,161,1,16,16,1,1,1,4d,official_unique
5181,"Supervisores, inspectores y similares en la fabricación de químicos, petroquímica, hule, caucho y plástico",1,7401,7401,1,740,740,1,74,74,1,7,7,4d,official_unique
5189,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,1,1614,1614,1,161,161,1,16,16,1,1,1,4d,official_unique
5200,"Trabajadores en la elaboración de productos de carne, pescado y derivados",1,7511,7511,1,751,751,1,75,75,1,7,7,4d,official_unique
5201,Trabajadores en la elaboración de productos lácteos,1,7512,7512,1,751,751,1,75,75,1,7,7,4d,official_unique
5202,"Trabajadores en la elaboración de pan, tortilla, repostería y otros productos de cereales y harinas",1,7513,7513,1,751,751,1,75,75,1,7,7,4d,official_unique
5203,Trabajadores en la elaboración de productos a base de frutas y verduras,1,7514,7514,1,751,751,1,75,75,1,7,7,4d,official_unique
5204,"Trabajadores en la elaboración de productos a base de azúcar, chocolate y confitería",1,7515,7515,1,751,751,1,75,75,1,7,7,4d,official_unique
5205,Trabajadores en la elaboración de productos de tabaco,1,7515,7515,1,751,751,1,75,75,1,7,7,4d,official_unique
5206,Trabajadores en la elaboración de bebidas alcohólicas y no alcohólicas,1,7517,7517,1,751,751,1,75,75,1,7,7,4d,official_unique
5207,"Trabajadores en la elaboración de aceites, grasas, sal y especias",1,7516,7516,1,751,751,1,75,75,1,7,7,4d,official_unique
5208,Trabajadores en la elaboración de comidas,1,5111,5111,1,511,511,1,51,51,1,5,5,4d,official_unique
5209,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,7999,7999,1,799,799,1,79,79,1,7,7,4d,official_unique
5210,Mineros,1,7111,7111,1,711,711,1,71,71,1,7,7,4d,official_unique
5211,"Trabajadores en la extracción de cantera, arcilla, arena, piedra y grava",1,7112,7112,1,711,711,1,71,71,1,7,7,4d,official_unique
5220,Preparadores de fibras e hilanderos,1,7331,7331,1,733,733,1,73,73,1,7,7,4d,official_unique
5221,Tejedores de fibras,1,7332,7332,1,733,733,1,73,73,1,7,7,4d,official_unique
5222,"Sastres, modistos y costureras que confeccionan o reparan prendas de vestir de tela, cuero, piel y similares",1,7341,7341,1,734,734,1,73,73,1,7,7,4d,official_unique
5223,"Artesanos y confeccionadores de productos de tela, cuero, piel y similares (excepto prendas de vestir)",1,7342,7342,1,734,734,1,73,73,1,7,7,4d,official_unique
5224,Bordadores y deshiladores,1,7343,7343,1,734,734,1,73,73,1,7,7,4d,official_unique
5225,Tapiceros,1,7351,7351,1,735,735,1,73,73,1,7,7,4d,official_unique
5226,"Peleteros, cortadores, curtidores y pintores de cuero, piel y similares",1,7352,7352,1,735,735,1,73,73,1,7,7,4d,official_unique
5227,Zapateros y trabajadores similares,1,7353,7353,1,735,735,1,73,73,1,7,7,4d,official_unique
5228,"Patronistas de productos de tela, cuero, piel y similares",1,7344,7344,1,734,734,1,73,73,1,7,7,4d,official_unique
5229,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,7999,7999,1,799,799,1,79,79,1,7,7,4d,official_unique
5230,"Carpinteros, ebanistas, barnizadores, cepilladores y similares, en la elaboración de productos de madera",3,7123|7311|7312,NA,2,712|731,NA,2,71|73,NA,1,7,7,1d,official_multiple_unresolved
5231,"Artesanos y trabajadores fabriles en la elaboración de productos de bejuco, vara, palma, carrizo y mimbre, excepto madera",1,7313,7313,1,731,731,1,73,73,1,7,7,4d,official_unique
5232,Artesanos y trabajadores fabriles en la elaboración de productos de papel y cartón,1,7321,7321,1,732,732,1,73,73,1,7,7,4d,official_unique
5233,"Impresores, linotipistas, fotograbadores y similares",1,7322,7322,1,732,732,1,73,73,1,7,7,4d,official_unique
5234,Reveladores e impresores de fotografías y similares,1,7323,7323,1,732,732,1,73,73,1,7,7,4d,official_unique
5239,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,7999,7999,1,799,799,1,79,79,1,7,7,4d,official_unique
5240,"Moldeadores, caldereros y torneros",1,7211,7211,1,721,721,1,72,72,1,7,7,4d,official_unique
5241,Soldadores y oxicortadores,1,7212,7212,1,721,721,1,72,72,1,7,7,4d,official_unique
5242,"Hojalateros, chaperos y pintores de metales",1,7213,7213,1,721,721,1,72,72,1,7,7,4d,official_unique
5243,"Joyeros, orfebres, plateros, latoneros y cobreros",1,7223,7223,1,722,722,1,72,72,1,7,7,4d,official_unique
5244,"Cerrajeros, pulidores de metal y afiladores de herramientas",1,7222,7222,1,722,722,1,72,72,1,7,7,4d,official_unique
5245,"Mecánicos, ajustadores y trabajadores de mantenimiento y reparación de vehiculos de motor (aviones, automóviles, etcétera)",1,2632,2632,1,263,263,1,26,26,1,2,2,4d,official_unique
5246,"Mecánicos, ajustadores, instaladores y trabajadores de mantenimiento y reparación de maquinaria, instrumentos industriales y equipos de refrigeración",2,2634|2638,NA,1,263,263,1,26,26,1,2,2,3d,official_multiple_unresolved
5247,"Mecánicos, ajustadores, instaladores y trabajadores de mantenimiento y reparación de instrumentos musicales (pianos, etc.) y de precisión (relojes, básculas, etcétera)",1,2636,2636,1,263,263,1,26,26,1,2,2,4d,official_unique
5248,"Herreros, balconeros, aluminadores y forjadores",1,7221,7221,1,722,722,1,72,72,1,7,7,4d,official_unique
5249,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,2,2639|7214,NA,2,263|721,NA,2,26|72,NA,2,2|7,NA,unresolved,official_multiple_unresolved
5250,Alfareros y trabajadores ceramistas,1,7611,7611,1,761,761,1,76,76,1,7,7,4d,official_unique
5251,"Trabajadores en la fabricación de productos de cemento, cal, yeso, azulejo, piedra y ladrilleros",1,7612,7612,1,761,761,1,76,76,1,7,7,4d,official_unique
5252,Trabajadores del vidrio y similares,1,7613,7613,1,761,761,1,76,76,1,7,7,4d,official_unique
5253,"Trabajadores en la elaboración de productos de hueso, concha, coral y similares",1,7614,7614,1,761,761,1,76,76,1,7,7,4d,official_unique
5259,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,7999,7999,1,799,799,1,79,79,1,7,7,4d,official_unique
5260,Albañiles,1,7121,7121,1,712,712,1,71,71,1,7,7,4d,official_unique
5261,Pintores de brocha gorda,1,7135,7135,1,713,713,1,71,71,1,7,7,4d,official_unique
5262,"Yeseros, escayolistas y otros recubridores de techos y paredes",1,7131,7131,1,713,713,1,71,71,1,7,7,4d,official_unique
5263,"Techadores (colocadores de palapas, etcétera)",1,7122,7122,1,712,712,1,71,71,1,7,7,4d,official_unique
5264,"Instaladores de mosaicos, azulejos, pisos y baldosas",1,7132,7132,1,713,713,1,71,71,1,7,7,4d,official_unique
5265,Instaladores de aislantes y climas artificiales,1,2638,2638,1,263,263,1,26,26,1,2,2,4d,official_unique
5266,"Instaladores de materiales de impermeabilización, vidrio, papel tapiz, alfombra y otros materiales en la construcción",1,7133,7133,1,713,713,1,71,71,1,7,7,4d,official_unique
5267,"Plomeros, fontaneros e instaladores de tubería",1,7134,7134,1,713,713,1,71,71,1,7,7,4d,official_unique
5269,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,1,7113,7113,1,711,711,1,71,71,1,7,7,4d,official_unique
5270,Electricistas y linieros,1,2642,2642,1,264,264,1,26,26,1,2,2,4d,official_unique
5271,"Instaladores y reparadores de aparatos electrónicos, electrodomésticos y equipos de telecomunicaciones",1,2644,2644,1,264,264,1,26,26,1,2,2,4d,official_unique
5272,Reparadores de equipos electromecánicos,1,2646,2646,1,264,264,1,26,26,1,2,2,4d,official_unique
5279,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,2649,2649,1,264,264,1,26,26,1,2,2,4d,official_unique
5280,"Trabajadores en la elaboración y reparación de productos de hule, caucho, plástico y vulcanización de neumáticos",1,7411,7411,1,741,741,1,74,74,1,7,7,4d,official_unique
5281,Trabajadores en la elaboración de sustancias y compuestos químicos,1,7412,7412,1,741,741,1,74,74,1,7,7,4d,official_unique
5290,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,7999,7999,1,799,799,1,79,79,1,7,7,4d,official_unique
5300,"Operadores de máquinas en la preparación de la carne, pescado y sus derivados",1,8161,8161,1,816,816,1,81,81,1,8,8,4d,official_unique
5301,Operadores de máquinas en la fabricación de leche y lácteos,1,8161,8161,1,816,816,1,81,81,1,8,8,4d,official_unique
5302,"Operadores de máquinas en la fabricación de pan, tortilla, repostería y otros productos de cereales y harinas",1,8161,8161,1,816,816,1,81,81,1,8,8,4d,official_unique
5303,Operadores de máquinas en la preparación de frutas y legumbres,1,8161,8161,1,816,816,1,81,81,1,8,8,4d,official_unique
5304,"Operadores de máquinas en la fabricación de azúcar, café, chocolate, té y confitería",1,8161,8161,1,816,816,1,81,81,1,8,8,4d,official_unique
5305,Operadores de máquinas en la fabricación de productos de tabaco,1,8162,8162,1,816,816,1,81,81,1,8,8,4d,official_unique
5306,Operadores de máquinas en la fabricación de bebidas alcohólicas y no alcohólicas,1,8163,8163,1,816,816,1,81,81,1,8,8,4d,official_unique
5307,"Operadores de máquinas en la fabricación de aceite, grasas, sal y especias",1,8161,8161,1,816,816,1,81,81,1,8,8,4d,official_unique
5309,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,8199,8199,1,819,819,1,81,81,1,8,8,4d,official_unique
5310,Operadores de máquinas y equipos para la extracción en minas y canteras,1,8111,8111,1,811,811,1,81,81,1,8,8,4d,official_unique
5311,Operadores de máquinas y equipos para la extracción de pozos petroleros,1,8112,8112,1,811,811,1,81,81,1,8,8,4d,official_unique
5312,Operadores de máquinas y equipos para la obtención de agua,1,8113,8113,1,811,811,1,81,81,1,8,8,4d,official_unique
5319,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,8199,8199,1,819,819,1,81,81,1,8,8,4d,official_unique
5320,Operadores de máquinas de hilar y rebobinar,1,8151,8151,1,815,815,1,81,81,1,8,8,4d,official_unique
5321,"Operadores de telares y máquinas para fabricar tejidos de punto, telas y alfombras",1,8152,8152,1,815,815,1,81,81,1,8,8,4d,official_unique
5322,"Operadores de máquinas de coser, bordar y cortar para la fabricación de productos textiles y prendas de vestir",1,8153,8153,1,815,815,1,81,81,1,8,8,4d,official_unique
5323,"Operadores de máquinas en la fabricación de calzado y productos de cuero, piel y similares (excepto prendas de vestir)",1,8154,8154,1,815,815,1,81,81,1,8,8,4d,official_unique
5324,"Operadores de máquinas para blanquear, teñir, limpiar y planchar productos textiles, de cuero, piel y similares",1,8155,8155,1,815,815,1,81,81,1,8,8,4d,official_unique
5329,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,8199,8199,1,819,819,1,81,81,1,8,8,4d,official_unique
5330,Operadores de máquinas para el tratamiento de la madera y fabricación de triplay y aglomerados,1,8141,8141,1,814,814,1,81,81,1,8,8,4d,official_unique
5331,Operadores de máquinas en la elaboración de celulosa y fabricación de papel y similares,1,8143,8143,1,814,814,1,81,81,1,8,8,4d,official_unique
5332,"Operadores de máquinas para la fabricación de productos de madera y similares (bejuco, vara, carrizo, mimbre, etcétera)",1,8142,8142,1,814,814,1,81,81,1,8,8,4d,official_unique
5333,Operadores de máquinas para la impresión y encuadernación,1,8144,8144,1,814,814,1,81,81,1,8,8,4d,official_unique
5334,Operadores de máquinas para la fabricación de productos a base de papel y cartón,1,8145,8145,1,814,814,1,81,81,1,8,8,4d,official_unique
5339,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,8199,8199,1,819,819,1,81,81,1,8,8,4d,official_unique
5340,"Operadores de hornos metalúrgicos, coladores y laminadores",1,8121,8121,1,812,812,1,81,81,1,8,8,4d,official_unique
5341,Operadores de máquinas trefiladoras y estiradoras de metales,1,8122,8122,1,812,812,1,81,81,1,8,8,4d,official_unique
5342,"Operadores de máquinas pulidoras, galvanizadoras y recubridoras de metal",1,8123,8123,1,812,812,1,81,81,1,8,8,4d,official_unique
5343,"Operadores de máquinas que cortan, perforan, doblan, labran, etc., piezas y productos metálicos",1,8123,8123,1,812,812,1,81,81,1,8,8,4d,official_unique
5344,"Ensambladores y montadores de herramientas, maquinaria, equipos y productos metálicos",1,8211,8211,1,821,821,1,82,82,1,8,8,4d,official_unique
5345,Ensambladores y montadores de partes eléctricas y electrónicas,1,8212,8212,1,821,821,1,82,82,1,8,8,4d,official_unique
5349,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,8199,8199,1,819,819,1,81,81,1,8,8,4d,official_unique
5350,Operadores de máquinas en la fabricación de productos de cerámica,1,8172,8172,1,817,817,1,81,81,1,8,8,4d,official_unique
5351,"Operadores de máquinas en la fabricación de productos de mosaico, azulejo y similares",1,8172,8172,1,817,817,1,81,81,1,8,8,4d,official_unique
5352,"Operadores de máquinas en la fabricación de cemento, cal, yeso y productos de cemento",1,8171,8171,1,817,817,1,81,81,1,8,8,4d,official_unique
5353,Operadores de máquinas en la fabricación de vidrio y productos de vidrio y similares,1,8173,8173,1,817,817,1,81,81,1,8,8,4d,official_unique
5359,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,8199,8199,1,819,819,1,81,81,1,8,8,4d,official_unique
5360,"Operadores de equipo portátil especializado para la construcción (perforadora, barrenadora, compresora, etcétera)",1,8114,8114,1,811,811,1,81,81,1,8,8,4d,official_unique
5370,Operadores de instalaciones y plantas en la generación y distribución de energía,1,8181,8181,1,818,818,1,81,81,1,8,8,4d,official_unique
5371,"Operadores de equipo de bombeo, ventilación y refrigeración",1,8134,8134,1,813,813,1,81,81,1,8,8,4d,official_unique
5379,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,8199,8199,1,819,819,1,81,81,1,8,8,4d,official_unique
5380,Operadores de máquinas para el tratamiento de sustancias químicas y agua,2,8131|8134,NA,1,813,813,1,81,81,1,8,8,3d,official_multiple_unresolved
5381,Operadores de máquinas y equipos para la refinación de petróleo y gas,1,8135,8135,1,813,813,1,81,81,1,8,8,4d,official_unique
5382,Operadores de máquinas para la fabricación de productos farmacéuticos y cosméticos,1,8132,8132,1,813,813,1,81,81,1,8,8,4d,official_unique
5383,Operadores de máquinas para la fabricación y ensamble de productos de plástico y hule,1,8133,8133,1,813,813,1,81,81,1,8,8,4d,official_unique
5389,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,8199,8199,1,819,819,1,81,81,1,8,8,4d,official_unique
5390,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,8199,8199,1,819,819,1,81,81,1,8,8,4d,official_unique
5400,"Ayudantes, peones y similares en la fabricación de alimentos, bebidas y productos de tabaco",2,9236|9411,NA,2,923|941,NA,2,92|94,NA,1,9,9,1d,official_multiple_unresolved
5401,"Cargadores, abastecedores, empacadores manuales y similares en la fabricación de alimentos, bebidas y productos de tabaco",1,9236,9236,1,923,923,1,92,92,1,9,9,4d,official_unique
5410,"Ayudantes, peones y similares en la extracción en minas, canteras y pozos",2,9211|9212,NA,1,921,921,1,92,92,1,9,9,3d,official_multiple_unresolved
5411,"Cargadores y similares en la extracción en minas, canteras y pozos",1,9212,9212,1,921,921,1,92,92,1,9,9,4d,official_unique
5420,"Ayudantes, peones y similares en la fabricación de textiles y productos de cuero, piel y similares",1,9235,9235,1,923,923,1,92,92,1,9,9,4d,official_unique
5421,"Cargadores, abastecedores, empacadores manuales y similares en la fabricación de textiles y productos de cuero, piel y similares.",1,9235,9235,1,923,923,1,92,92,1,9,9,4d,official_unique
5430,"Ayudantes, peones y similares en la fabricación de productos de madera y papel y trabajos de impresión",1,9234,9234,1,923,923,1,92,92,1,9,9,4d,official_unique
5431,"Cargadores, abastecedores, empacadores manuales y similares en la fabricación de productos de madera y papel, y trabajos de impresión",1,9234,9234,1,923,923,1,92,92,1,9,9,4d,official_unique
5440,"Ayudantes, peones y similares en la fabricación metalúrgica y en la fabricación de maquinaria y productos metálicos, eléctricos y electrónicos",1,9231,9231,1,923,923,1,92,92,1,9,9,4d,official_unique
5441,"Cargadores, abastecedores, empacadores manuales y similares en la fabricación metalúrgica y en la fabricación de maquinaria y productos metálicos, eléctricos y electrónicos",1,9231,9231,1,923,923,1,92,92,1,9,9,4d,official_unique
5450,"Ayudantes, peones y similares en la fabricación de productos de cerámica, vidrio y otros minerales no metálicos",1,9237,9237,1,923,923,1,92,92,1,9,9,4d,official_unique
5451,"Cargadores, abastecedores, empacadores manuales y similares en la fabricación de productos de cerámica, vidrio y otros minerales no metálicos",1,9237,9237,1,923,923,1,92,92,1,9,9,4d,official_unique
5460,"Ayudantes, peones y similares en la construcción",1,9221,9221,1,922,922,1,92,92,1,9,9,4d,official_unique
5461,Cargadores y similares en la construcción,1,9222,9222,1,922,922,1,92,92,1,9,9,4d,official_unique
5470,"Ayudantes, peones y similares en la generación de energía, la electrónica y las telecomunicaciones",1,9232,9232,1,923,923,1,92,92,1,9,9,4d,official_unique
5480,"Ayudantes, peones y similares en la fabricación de químicos, petroquímica, hule, caucho y plástico",1,9233,9233,1,923,923,1,92,92,1,9,9,4d,official_unique
5481,"Cargadores, abastecedores, empacadores manuales y similares en la fabricación de químicos, petroquímica, hule, caucho y plástico",1,9233,9233,1,923,923,1,92,92,1,9,9,4d,official_unique
5490,"Otros ayudantes, peones y similares no clasificados anteriormente",1,9239,9239,1,923,923,1,92,92,1,9,9,4d,official_unique
5491,"Otros cargadores, abastecedores, empacadores manuales y similares no clasificados anteriormente",1,9239,9239,1,923,923,1,92,92,1,9,9,4d,official_unique
5500,Conductores de maquinaria móvil agrícola y forestal,1,6311,6311,1,631,631,1,63,63,1,6,6,4d,official_unique
5501,Conductores de maquinaria móvil para la construcción,1,8351,8351,1,835,835,1,83,83,1,8,8,4d,official_unique
5502,"Conductores de maquinaria móvil para el movimiento de mercancías en fábricas, puertos, comercios, etcétera",1,8352,8352,1,835,835,1,83,83,1,8,8,4d,official_unique
5510,"Conductores de transporte en vías férreas (tren, metro y tren ligero)",1,8331,8331,1,833,833,1,83,83,1,8,8,4d,official_unique
5511,Ayudantes de conductores de transporte en vías férreas,1,9312,9312,1,931,931,1,93,93,1,9,9,4d,official_unique
5520,"Conductores de autobuses, camiones, camionetas y automóviles de pasajeros",1,8342,8342,1,834,834,1,83,83,1,8,8,4d,official_unique
5521,"Conductores de camiones, camionetas y automóviles de carga",1,8341,8341,1,834,834,1,83,83,1,8,8,4d,official_unique
5522,Ayudantes de conductor,1,9311,9311,1,931,931,1,93,93,1,9,9,4d,official_unique
5529,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,1,8349,8349,1,834,834,1,83,83,1,8,8,4d,official_unique
5530,Conductores de transporte aéreo,1,8311,8311,1,831,831,1,83,83,1,8,8,4d,official_unique
5540,Conductores de transporte marítimo,1,8321,8321,1,832,832,1,83,83,1,8,8,4d,official_unique
5541,Oficiales maquinistas de transporte marítimo,1,8323,8323,1,832,832,1,83,83,1,8,8,4d,official_unique
5542,Oficiales de cubierta,1,8322,8322,1,832,832,1,83,83,1,8,8,4d,official_unique
5543,"Lancheros, boteros y barqueros",1,8324,8324,1,832,832,1,83,83,1,8,8,4d,official_unique
5549,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,1,8999,8999,1,899,899,1,89,89,1,8,8,4d,official_unique
5550,Conductores de vehículos de transporte de tracción humana,1,9321,9321,1,932,932,1,93,93,1,9,9,4d,official_unique
5551,"Conductores de transporte de tracción animal (carretas, arrieros)",1,9322,9322,1,932,932,1,93,93,1,9,9,4d,official_unique
5590,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,1,8999,8999,1,899,899,1,89,89,1,8,8,4d,official_unique
6100,"Jefes de departamento, coordinadores y supervisores en servicios de salud y asistencia social",2,1521|2524,NA,2,152|252,NA,2,15|25,NA,2,1|2,NA,unresolved,official_multiple_unresolved
6101,"Jefes de departamento, coordinadores y supervisores en servicios de educación",2,1523|2311,NA,2,152|231,NA,2,15|23,NA,2,1|2,NA,unresolved,official_multiple_unresolved
6102,"Jefes de departamento, coordinadores y supervisores en administración de justicia y procesos electorales",1,1524,1524,1,152,152,1,15,15,1,1,1,4d,official_unique
6110,"Jefes de departamento, coordinadores y supervisores en contabilidad y finanzas",2,1512|3101,NA,2,151|310,NA,2,15|31,NA,2,1|3,NA,unresolved,official_multiple_unresolved
6111,"Jefes de departamento, coordinadores y supervisores en administración, recursos humanos, materiales, archivo y similares",1,1511,1511,1,151,151,1,15,15,1,1,1,4d,official_unique
6120,"Jefes de departamento, coordinadores y supervisores en comunicaciones",1,1622,1622,1,162,162,1,16,16,1,1,1,4d,official_unique
6121,"Jefes de departamento, coordinadores y supervisores en la coordinación del transporte",4,1623|2661|2662|8301,NA,3,162|266|830,NA,3,16|26|83,NA,3,1|2|8,NA,unresolved,official_multiple_unresolved
6130,"Jefes de departamento, coordinadores y supervisores en servicios estadísticos e informáticos",2,1621|3201,NA,2,162|320,NA,2,16|32,NA,2,1|3,NA,unresolved,official_multiple_unresolved
6132,"Jefes de departamento, coordinadores y supervisores en investigaciones sociales (historia, sociología, sicología, trabajo social, etcétera)",1,1522,1522,1,152,152,1,15,15,1,1,1,4d,official_unique
6133,"Jefes de departamento, coordinadores y supervisores en otros servicios Especializados",1,1629,1629,1,162,162,1,16,16,1,1,1,4d,official_unique
6140,"Jefes de departamento, coordinadores y supervisores en servicios de infraestructura (agua, luz, caminos, etcétera)",1,2523,2523,1,252,252,1,25,25,1,2,2,4d,official_unique
6150,"Jefes de departamento, coordinadores y supervisores en servicios culturales y de esparcimiento",2,1721|1722,NA,1,172,172,1,17,17,1,1,1,3d,official_multiple_unresolved
6160,"Jefes de departamento, coordinadores y supervisores en servicios de restaurante, hospedaje y comercio",2,1711|1712,NA,1,171,171,1,17,17,1,1,1,3d,official_multiple_unresolved
6170,"Jefes de departamento, coordinadores y supervisores en servicios agropecuarios, pesqueros y forestales",1,1611,1611,1,161,161,1,16,16,1,1,1,4d,official_unique
6180,"Otros jefes de departamento, coordinadores y supervisores en actividades no clasificadas anteriormente",3,1723|5201|9601,NA,3,172|520|960,NA,3,17|52|96,NA,3,1|5|9,NA,unresolved,official_multiple_unresolved
6190,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,1624,1624,1,162,162,1,16,16,1,1,1,4d,official_unique
6200,Secretarias,1,3111,3111,1,311,311,1,31,31,1,3,3,4d,official_unique
6201,"Mecanógrafos, taquígrafos, estenógrafos y escribanos",1,3112,3112,1,311,311,1,31,31,1,3,3,4d,official_unique
6202,Capturistas de datos,1,3113,3113,1,311,311,1,31,31,1,3,3,4d,official_unique
6203,"Operadores de máquinas de oficina (copiadora, mimeógrafo, telex, etcétera)",1,3114,3114,1,311,311,1,31,31,1,3,3,4d,official_unique
6209,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,3999,3999,1,399,399,1,39,39,1,3,3,4d,official_unique
6210,"Cajeros, pagadores y cobradores",2,3121|3122,NA,1,312,312,1,31,31,1,3,3,3d,official_multiple_unresolved
6211,Taquilleros y empleados de ventanilla,1,3121,3121,1,312,312,1,31,31,1,3,3,4d,official_unique
6219,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,3999,3999,1,399,399,1,39,39,1,3,3,4d,official_unique
6220,Trabajadores en archivo y correspondencia,1,3131,3131,1,313,313,1,31,31,1,3,3,4d,official_unique
6221,Trabajadores en control de almacenes y bodegas,1,3132,3132,1,313,313,1,31,31,1,3,3,4d,official_unique
6229,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,3999,3999,1,399,399,1,39,39,1,3,3,4d,official_unique
6230,Recepcionistas y otros trabajadores que brindan información,3,3211|3212|4232,NA,2,321|423,NA,2,32|42,NA,2,3|4,NA,unresolved,official_multiple_unresolved
6231,Trabajadores en agencias de viajes,1,3221,3221,1,322,322,1,32,32,1,3,3,4d,official_unique
6232,"Encuestadores, codificadores, verificadores y similares",2,3231|3232,NA,1,323,323,1,32,32,1,3,3,3d,official_multiple_unresolved
6239,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,3999,3999,1,399,399,1,39,39,1,3,3,4d,official_unique
6240,Telefonistas,1,3213,3213,1,321,321,1,32,32,1,3,3,4d,official_unique
6241,Telegrafistas,1,3213,3213,1,321,321,1,32,32,1,3,3,4d,official_unique
6249,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,3999,3999,1,399,399,1,39,39,1,3,3,4d,official_unique
6250,Carteros,1,9721,9721,1,972,972,1,97,97,1,9,9,4d,official_unique
6251,Trabajadores en servicios de mensajería en general,1,9722,9722,1,972,972,1,97,97,1,9,9,4d,official_unique
6259,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,3999,3999,1,399,399,1,39,39,1,3,3,4d,official_unique
6260,"Despachadores, checadores y similares en la operación del transporte",2,3141|3142,NA,1,314,314,1,31,31,1,3,3,3d,official_multiple_unresolved
6270,Otros trabajadores en servicios administrativos no clasificados anteriormente,3,3115|9731|9732,NA,2,311|973,NA,2,31|97,NA,2,3|9,NA,unresolved,official_multiple_unresolved
7100,Comerciantes en establecimientos,1,4111,4111,1,411,411,1,41,41,1,4,4,4d,official_unique
7110,Encargados y responsables de comercio,1,4201,4201,1,420,420,1,42,42,1,4,4,4d,official_unique
7111,Despachadores y dependientes de comercio,4,4211|4212|4213|4214,NA,1,421,421,1,42,42,1,4,4,3d,official_multiple_unresolved
7120,Demostradores,1,4231,4231,1,423,423,1,42,42,1,4,4,4d,official_unique
7121,Repartidores,2,8344|9723,NA,2,834|972,NA,2,83|97,NA,2,8|9,NA,unresolved,official_multiple_unresolved
7130,"Agentes, representantes, distribuidores y proveedores de ventas",1,4221,4221,1,422,422,1,42,42,1,4,4,4d,official_unique
7131,"Agentes de bienes raíces y trabajadores en el servicio de arrendamiento de bienes inmuebles (casas, edificios, oficinas, etcétera)",2,4223|4311,NA,2,422|431,NA,2,42|43,NA,1,4,4,1d,official_multiple_unresolved
7132,"Agentes de acciones, bonos y valores",1,2513,2513,1,251,251,1,25,25,1,2,2,4d,official_unique
7133,Agente de seguros,1,4222,4222,1,422,422,1,42,42,1,4,4,4d,official_unique
7134,Valuadores,1,2514,2514,1,251,251,1,25,25,1,2,2,4d,official_unique
7135,Subastadores y rematadores,1,2514,2514,1,251,251,1,25,25,1,2,2,4d,official_unique
7139,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,4999,4999,1,499,499,1,49,49,1,4,4,4d,official_unique
7190,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,4999,4999,1,499,499,1,49,49,1,4,4,4d,official_unique
7200,Vendedores ambulantes de periódicos y lotería,1,9511,9511,1,951,951,1,95,95,1,9,9,4d,official_unique
7201,Vendedores ambulantes de artículos diversos,4,4224|9512|9661|9663,NA,3,422|951|966,NA,3,42|95|96,NA,2,4|9,NA,unresolved,official_multiple_unresolved
7209,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,9512,9512,1,951,951,1,95,95,1,9,9,4d,official_unique
