source_code,source_label,n_destinations_4d,destinations_4d,target_4d_unique,n_destinations_3d,destinations_3d,target_3d_unique,n_destinations_2d,destinations_2d,target_2d_unique,n_destinations_1d,destinations_1d,target_1d_unique,maximum_unambiguous_level,decision_status_4d
1205,"Técnicos en ingeniería eléctrica, electrónica, informática y en telecomunicaciones",4,2641|2643|2651|2652,NA,2,264|265,NA,1,26,26,1,2,2,2d,official_multiple_unresolved
1206,"Técnicos en la operación de equipos de televisión, filmación, proyección y grabación de imagen y sonido y fotógrafos",3,2653|2654|2655,NA,1,265,265,1,26,26,1,2,2,3d,official_multiple_unresolved
1209,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,2992,2992,1,299,299,1,29,29,1,2,2,4d,official_unique
1210,Técnicos en física,1,2611,2611,1,261,261,1,26,26,1,2,2,4d,official_unique
1211,"Técnicos en matemáticas, estadística y actuaría",1,2611,2611,1,261,261,1,26,26,1,2,2,4d,official_unique
1219,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,2992,2992,1,299,299,1,29,29,1,2,2,4d,official_unique
1220,Enfermeros y técnicos en medicina humana,7,2811|2817|2821|2823|2824|2825|2826,NA,2,281|282,NA,1,28,28,1,2,2,2d,official_multiple_unresolved
1221,Técnicos en odontología y mecánica dental,2,2815|2822,NA,2,281|282,NA,1,28,28,1,2,2,2d,official_multiple_unresolved
1222,Técnicos en optometría y similares,1,2812,2812,1,281,281,1,28,28,1,2,2,4d,official_unique
1223,Técnicos nutriólogos y dietistas,1,2816,2816,1,281,281,1,28,28,1,2,2,4d,official_unique
1229,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,2992,2992,1,299,299,1,29,29,1,2,2,4d,official_unique
1230,Técnicos laboratoristas químicos y biólogos,3,2612|2813|2827,NA,3,261|281|282,NA,2,26|28,NA,1,2,2,1d,official_multiple_unresolved
1231,Técnicos farmacéuticos,1,2814,2814,1,281,281,1,28,28,1,2,2,4d,official_unique
1232,Técnicos en ecología,1,2612,2612,1,261,261,1,26,26,1,2,2,4d,official_unique
1239,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,2992,2992,1,299,299,1,29,29,1,2,2,4d,official_unique
1240,Técnicos en agronomía,1,2613,2613,1,261,261,1,26,26,1,2,2,4d,official_unique
1241,Técnicos en veterinaria y zootecnia,1,2614,2614,1,261,261,1,26,26,1,2,2,4d,official_unique
1242,Técnicos en pesca,1,2614,2614,1,261,261,1,26,26,1,2,2,4d,official_unique
1243,Técnicos en silvicultura y forestación,1,2614,2614,1,261,261,1,26,26,1,2,2,4d,official_unique
1249,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,1,2614,2614,1,261,261,1,26,26,1,2,2,4d,official_unique
1250,Técnicos en ciencias sociales,3,2531|2532|2711,NA,2,253|271,NA,2,25|27,NA,1,2,2,1d,official_multiple_unresolved
1251,Técnicos en ciencias contables financieras,1,2512,2512,1,251,251,1,25,25,1,2,2,4d,official_unique
1252,"Técnicos en ciencias administrativas, hotelería y turismo",1,2511,2511,1,251,251,1,25,25,1,2,2,4d,official_unique
1260,Técnicos en actividades religiosas,1,2533,2533,1,253,253,1,25,25,1,2,2,4d,official_unique
1290,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,2992,2992,1,299,299,1,29,29,1,2,2,4d,official_unique
1300,Profesores universitarios y de otros establecimientos de enseñanza superior,1,2321,2321,1,232,232,1,23,23,1,2,2,4d,official_unique
1310,Profesores de preparatoria y equivalentes,1,2322,2322,1,232,232,1,23,23,1,2,2,4d,official_unique
1320,Profesores de enseñanza secundaria,1,2331,2331,1,233,233,1,23,23,1,2,2,4d,official_unique
1330,Profesores de enseñanza primaria,1,2332,2332,1,233,233,1,23,23,1,2,2,4d,official_unique
1331,Alfabetizadores,1,2333,2333,1,233,233,1,23,23,1,2,2,4d,official_unique
1332,Profesores y promotores bilingües,1,2334,2334,1,233,233,1,23,23,1,2,2,4d,official_unique
1340,Profesores de enseñanza preescolar,1,2335,2335,1,233,233,1,23,23,1,2,2,4d,official_unique
1350,Profesores de discapacitados mentales,1,2343,2343,1,234,234,1,23,23,1,2,2,4d,official_unique
1351,Profesores de débiles visuales e invidentes,1,2343,2343,1,234,234,1,23,23,1,2,2,4d,official_unique
1352,Profesores de personas con problemas de audición y lenguaje,1,2341,2341,1,234,234,1,23,23,1,2,2,4d,official_unique
1353,Profesores de lesionados del aparato motor,1,2343,2343,1,234,234,1,23,23,1,2,2,4d,official_unique
1354,Profesores de personas con problemas de aprendizaje,1,2342,2342,1,234,234,1,23,23,1,2,2,4d,official_unique
