codigo,etiqueta_oficial,tipo,documentacion,url_principal,nota
9700,Trabajador de otro trabajador,situacion_especial_enoe,"Reconstrucción de variables ENOE 2023, pp. impresas 6-8; Validación primaria COE 2021; Clasificaciones ENOE N 2021, p. impresa 22",https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/doc/recons_var_15ymas.pdf,persona que ayuda a un trabajador subordinado y no está contratada directamente por la unidad empleadora
9800,Trabajadores en el extranjero,situacion_especial_enoe,"Instructivo de codificación de actividad económica ENOE N 2021, apartado 64; Reconstrucción de variables ENOE 2023, pp. impresas 6-8; Clasificaciones ENOE N 2021, p. impresa 22",https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/doc/enoe_n_instructivo_actividad_eco.pdf,clave especial para personas cuyo trabajo se realiza en el extranjero
